id,id_wilayah,kategori_id,pemohon,termohon,obyek_sengketa,keputusan_putasan,upload_file,tanggal,parpol_pendukung
97,76290,,,,,,_Putusan PT.TUN Makassar - Muna.pdf,10/16/2015 13:55,NULL
98,76290,,"Dr. LM. Baharuddin, M.Kes - H. Lapili, S.Pd",KPU Kabupaten Muna,,Keputusan KPU Kabupaten Muna Nomor : 57/Kpts/KPU-Kab-026.433541/2015 tanggal 24 Agustus 2015 tentang Penetapan Pasangan Calon Bupati dan Wakil Bupati yang Memenuhi Syarat sebagai Peserta Pemilihan Bupati dan Wakil Bupati Muna Tahun 2015,98__Putusan PT.TUN Makassar - Muna.pdf,10/16/2015 13:56,NULL
99,65605,,,,,,_Putusan PT.TUN Jakarta - Hulu Sungat Tengah.pdf,10/16/2015 14:12,NULL
100,65605,,"H. Abdul Latif, ST., SH., MH - Drs. H.A. Chairansyah",KPU Kabupaten Hulu Sungai Tengah,,Keputusan KPU Kabupaten Hulu Sungai Tengah Nomor : 42/Kpts/KPU-Kab/022.435987/2015 tanggal 24 Agustus 2015 tentang Penetapan Pasangan Calon Bupati dan Wakil Bupati dalam Pemilihan Bupati dan Wakil Bupati Hulu Sungai Tengah Tahun 2015,100__Putusan PT.TUN Jakarta - Hulu Sungat Tengah.pdf,10/16/2015 14:12,NULL
101,62673,,,,,,_Putusan PT.TUN Jakarta - Kalimantan Tengah.pdf,10/16/2015 14:27,NULL
102,62673,,H. Sugianto Sabran - Habib H. Said Ismail ,KPU Provinsi Kalimantan Tengah,,Keputusan KPU Provinsi Kalimantan Tengah Nomor : 29/Kpts-Prov-020/2015 tanggal 24 Agustus 2015 tentang Penetapan Pasangan Calon Gubernur dan Wakil Gubernur sebagai Peserta Pemilihan Gubernur dan Wakil Gubernur Kalimantan Tengah Tahun 2015,102__Putusan PT.TUN Jakarta - Kalimantan Tengah.pdf,10/16/2015 14:27,NULL
103,25023,,,,,,_Putusan PT.TUN Medan - Lampung Timur.pdf,10/16/2015 14:32,NULL
104,25023,,Hi. Julianto Paimin - Hi. Achrodji,KPU Kabupaten Lampung Timur,,"Keputusan Komisi Pemilihan Umum Kabupaten Lampung Timur  No. 42/Kpts/KPU.Kab-008.435605/Tahun 2015, Tanggal 24 Agustus 2015 Tentang  Penetapan Pasangan Calon Bupati Dan Wakil Bupati Yang Memenuhi Persyaratan Peserta Pemilihan Bupati Dan Wakil Bupati Lampung Timur Tahun 2015",104__Putusan PT.TUN Medan - Lampung Timur.pdf,10/16/2015 14:32,NULL
105,60963,,,,,,_Putusan PT.TUN Jakarta - Ketapang.pdf,10/16/2015 14:53,NULL
106,60963,,Muhammad Yasir Anshari - Iin Solinar,KPU Kabupaten Ketapang,,Keputusan KPU Kabupaten Ketapang Nomor : 43/Kpts/KPU-Kab-019.435724/2015 tanggal 24 Agustus 2015 tentang Penetapan Pasangan Calon Bupati dan Wakil Bupati Ketapang Tahun 2015,106__Putusan PT.TUN Jakarta - Ketapang.pdf,10/16/2015 14:57,NULL
