kelurahan,pemilih,pengguna_hak_pilih,perolehan_suara_1,perolehan_suara_2,suara_sah,suara_tidak_sah,total_suara,data_masuk,resource
SIMOLAWANG,14.016,6.48,1.192,5.345,6.464,156,6.59,100.00%,https://pilkada2015.kpu.go.id/surabayakota/simokerto
TAMBAKREJO,14.481,7.158,957,5.481,7.016,142,7.158,100.00%,https://pilkada2015.kpu.go.id/surabayakota/simokerto
GEBANG PUTIH,5.06,2.643,363,2.228,2.591,52,2.643,100.00%,https://pilkada2015.kpu.go.id/surabayakota/sukolilo
KEPUTIH,9.373,5.092,841,4.422,5.263,78,5.341,100.00%,https://pilkada2015.kpu.go.id/surabayakota/sukolilo
KLAMPIS NGASEM,12.099,6.406,573,5.754,6.327,79,6.406,100.00%,https://pilkada2015.kpu.go.id/surabayakota/sukolilo
MEDOKAN SEMAMPIR,12.33,6.386,914,5.346,6.26,126,6.386,100.00%,https://pilkada2015.kpu.go.id/surabayakota/sukolilo
MENUR PUMPUNGAN,11.426,5.879,694,5.105,5.799,80,5.879,100.00%,https://pilkada2015.kpu.go.id/surabayakota/sukolilo
NGINDEN JANGKUNGAN,9.934,5.508,626,4.786,5.067,89,5.156,100.00%,https://pilkada2015.kpu.go.id/surabayakota/sukolilo
SEMOLOWARU,14.152,7.145,944,5.81,6.485,76,6.561,100.00%,https://pilkada2015.kpu.go.id/surabayakota/sukolilo
PUTAT GEDE,4.217,2.346,281,2.016,2.297,49,2.346,100.00%,https://pilkada2015.kpu.go.id/surabayakota/sukomanunggal
SIMOMULYO,14.864,8.579,1.063,7.393,8.427,149,8.576,100.00%,https://pilkada2015.kpu.go.id/surabayakota/sukomanunggal
SIMOMULYO BARU,26.305,14.68,1.689,12.885,14.574,225,14.799,100.00%,https://pilkada2015.kpu.go.id/surabayakota/sukomanunggal
SONOKWIJENAN,5.696,2.828,269,2.534,2.803,25,2.828,100.00%,https://pilkada2015.kpu.go.id/surabayakota/sukomanunggal
SUKOMANUNGGAL,7.152,4.14,601,3.071,3.672,67,3.739,100.00%,https://pilkada2015.kpu.go.id/surabayakota/sukomanunggal
TANJUNGSARI,8.562,4.613,803,3.76,4.563,50,4.324,100.00%,https://pilkada2015.kpu.go.id/surabayakota/sukomanunggal
DUKUH SETRO,13.561,7.921,833,6.99,7.797,119,7.921,100.00%,https://pilkada2015.kpu.go.id/surabayakota/tambaksari
GADING,19.777,10.061,1.034,8.573,9.94,121,10.061,100.00%,https://pilkada2015.kpu.go.id/surabayakota/tambaksari
KAPASMADYA BARU,26.82,13.466,1.765,10.936,13.22,245,13.465,100.00%,https://pilkada2015.kpu.go.id/surabayakota/tambaksari
PACAR KELING,15.585,8.468,1.044,7.309,8.353,115,8.468,100.00%,https://pilkada2015.kpu.go.id/surabayakota/tambaksari
PACARKEMBANG,27.239,14.754,1.728,12.813,14.538,216,14.754,100.00%,https://pilkada2015.kpu.go.id/surabayakota/tambaksari
PLOSO,23.943,12.691,1.46,10.758,12.478,208,12.691,100.00%,https://pilkada2015.kpu.go.id/surabayakota/tambaksari
RANGKAH,12.154,6.776,892,5.761,6.653,123,6.776,100.00%,https://pilkada2015.kpu.go.id/surabayakota/tambaksari
TAMBAKSARI,13.949,7.144,880,6.133,7.013,131,7.144,100.00%,https://pilkada2015.kpu.go.id/surabayakota/tambaksari
BALONGSARI,6.429,3.659,530,3.071,3.601,58,3.659,100.00%,https://pilkada2015.kpu.go.id/surabayakota/tandes
