id,id_calon,judul,url_video,tanggal_direkam,tanggal_upload
0033,ps,Janji Saya Prabowo Subianto Terhadap Sahabat Facebook dan Rakyat Indonesia,http://www.youtube.com/watch?v=4KAQ50-4-F8,,2014-12-08
0034,ps,deklarasi Prabowo Hatta,http://www.youtube.com/watch?v=qHUqwIUULi4,,2014-05-26
0035,ps,Prabowo: pangan adalah masalah hidup dan mati suatu bangsa,http://www.youtube.com/watch?v=fsP8WKX7QFo,,2013-09-17
0036,ps,wawancara 6 program aksi transformasi bangsa partai gerindra bersama prabowo subianto,http://www.youtube.com/watch?v=zHGJnIh0qWU,,2013-07-27
0037,ps,keluarga berencana untuk mempertahankan kualitas hidup bangsa indonesia,http://www.youtube.com/watch?v=iPr5sFdjN94,,2013-06-26
0038,ps,Prabowo Subianto: kenapa kita harus berdemokrasi?,http://www.youtube.com/watch?v=LFoTVo7DmKk,,2013-06-12
0039,ps,"Prabowo: saat ini sistem pemerintahan indonesia lemah, tidak efisien dan korup",http://www.youtube.com/watch?v=cgsYmffb9gE,,2013-02-08
0040,ps,prabowo: bagi saya mengabdi adalah kewajiban dan kehormatan,http://www.youtube.com/watch?v=f_NJsRrp73g,,2013-02-07
0041,ps,Prabowo: validitas daftar pemilih sangant menentukan kualitas demokrasi,http://www.youtube.com/watch?v=Dwx1TJsCUKw,,2013-02-07
0042,ps,prabowo: kita harus selamatkan demokrasi indonesia,http://www.youtube.com/watch?v=xQ3Sce1Pau8,,2013-02-07
0043,ps,prabowo: Apa itu politik? bagaimana kenyataan politikdi indonesia,http://www.youtube.com/watch?v=5t3GLrwhmrE,,2013-02-07
0044,ps,"Prabowo: belajar dari barat boleh, tapi jangan kita dikendalikan barat",http://www.youtube.com/watch?v=fS9v3R64-E8,,2013-02-07
0045,ps,prabowo: apa yang membuat saya ingin jadi presiden?,http://www.youtube.com/watch?v=EJQZgBU_z94,,2013-02-06
0046,ps,prabowo: apa yang terjadi kalau korupsi dibiarkan?,http://www.youtube.com/watch?v=TG0RtCYNMRg,,2013-02-06
0047,ps,prabowo: setiap jengkal tanah NKRI harus kita pertahankan,http://www.youtube.com/watch?v=6uyPOpT38Qk,,2013-01-13
0048,ps,prabowo: tugas utama pemimpin adalah memilih tim terbaik,http://www.youtube.com/watch?v=LpYAd4Vr7GY,,2013-01-13
0049,ps,"demi indonesia bangkit: satukan kekuatan buruh, tani dan nelayan",http://www.youtube.com/watch?v=6jjgnegO7bw&list=PLRyBPfEP3dnd3hvyp2sk_UZB3yieLV_8i,,2014-05-13
0050,ps,demi indonesia bangkit: basmi koruptor,http://www.youtube.com/watch?v=-oQcZ6kNWnA&list=PLRyBPfEP3dnd3hvyp2sk_UZB3yieLV_8i,,2014-05-13
0051,ps,demi indonesia bnagkit:kejar koruptor sampai keujung dunia,http://www.youtube.com/watch?v=rCDKYc4aJfg&list=PLRyBPfEP3dnd3hvyp2sk_UZB3yieLV_8i,,2014-05-13
0052,ps,demi indonesia bangkit: koreksi sistem ekonomi neoliberal,http://www.youtube.com/watch?v=QwsL0a3Znlo&list=PLRyBPfEP3dnd3hvyp2sk_UZB3yieLV_8i,,2014-05-13
0053,ps,demi indonesia bangkit: pemimpin korup harus dibasmi,http://www.youtube.com/watch?v=uONW28lpQv4&list=PLRyBPfEP3dnd3hvyp2sk_UZB3yieLV_8i,,2014-05-13
0054,ps,prabowo subianto: waktunya menjawab tantangan bangsa 20 tahun kedepan,http://www.youtube.com/watch?v=Mm3WGWgxDX8&list=PLRyBPfEP3dneGnxT_lEiU2lFfHQQZHJbH,,2013-07-02
0055,ps,prabowo subianto:membiayai kehidupan bangsa 20 tahun kedepan,http://www.youtube.com/watch?v=kdFKFWfkjbw&list=PLRyBPfEP3dneGnxT_lEiU2lFfHQQZHJbH,,2013-07-02
0056,ps,"prabowo: gerindra harus mampu menghabisi koruptor, komprador, dan antek-antek asing!",http://www.youtube.com/watch?v=lxN6Bp1VMCw&list=PLRyBPfEP3dneGnxT_lEiU2lFfHQQZHJbH,,2013-02-11
0057,ps,prabowo: gerindra harus pastikan 2014 tahun perubahan,http://www.youtube.com/watch?v=QgjJXLWq8fM&list=PLRyBPfEP3dneGnxT_lEiU2lFfHQQZHJbH,,2013-02-11
0058,ps,pemaparan prabowo subianto masa depan indonesia dan tantangan 20 tahun kedepan,http://www.youtube.com/watch?v=zvcXWPVDh-k&list=PLRyBPfEP3dneGnxT_lEiU2lFfHQQZHJbH,,2013-02-06
0059,ps,"prabowo berbicara mengenai politik, strategi""perang"", dan keberanian merebut kemakmuran",http://www.youtube.com/watch?v=XmLwACDMgCQ&list=PL5A2BACAD45D645B5&index=3,,2011-12-16
0060,ps,prabowo: kenapa kita harus jalankan ekonomi kerakyatan?,http://www.youtube.com/watch?v=9zKLn5JtpWE,,2013-02-06
0061,ps,Prabowo: Pemerintah Harus Menjadi Pelopor Bukan Wasit,http://www.youtube.com/watch?v=f1OYbmQvWmc,,2014-09-23
0062,ps,Pidato Dahsyat Prabowo Subianto-Berita Terbaru Hari Ini,http://www.youtube.com/watch?v=06XS7_gT9rw,,2014-04-10
0063,ps,"Prabowo Ini Bukan Masalah Bisa Atau Tidak Bisa, Ini Masalah Kita Harus Laksanakan!",http://www.youtube.com/watch?v=p7FzaJ3dp40,,2014-04-25
0064,ps,Orasi Prabowo Membakar Semangat,http://www.youtube.com/watch?v=h8x5jcWU3iw,,2014-05-21
0065,ps,Prabowo siap penuhi 10 Tuntutan Buruh (Orasi Mayday Part 1),http://www.youtube.com/watch?v=dSLaY6fL1eU,,2014-05-21
0066,ps,Pidato Prabowo berikan semangat pada rakyat Indonesia untuk jadi bangsa yang mandiri,http://www.youtube.com/watch?v=HSb0sIcQR3k,,2014-05-16
0067,ps,Bincang Malam-Bersama Prabowo Subianto-TVRI,http://www.youtube.com/watch?v=G4noM0m8kME,,2014-05-28
0068,ps,Satu Indonesia- Prabowo,http://www.youtube.com/watch?v=JeN-kYZd7YE,,2014-02-10
0069,hr,Deklarasi Rajasa,http://www.youtube.com/watch?v=kbS47UyHZLU,,2014-01-11
0070,hr,Tatap Mata - 31 Mei 2014 - Hatta Rajasa [FULL],http://www.youtube.com/watch?v=jfmXfPIZv_0,,2014-05-31
