id,id_calon,judul,deskripsi,tanggal_mulai,waktu_mulai,tanggal_selesai,waktu_selesai
0040,jk,Kampanye Terbuka Sumatera Selatan,Kampanye Terbuka JK Sumatera Selatan,2014-06-16,,2014-06-17,
0041,"jk,jw",Kampanye Terbuka Jawa Timur,Kampanye Terbuka Jokowi/JK Jawa Timur,2014-06-17,,2014-06-17,
0042,jw,Kampanye Terbuka Jawa Tengah dan Nusa Tenggara Timur,Kampanye Terbuka Jokowi Jawa Tengah dan Nusa Tenggara Timur,2014-06-18,,2014-06-19,
0043,jk,Kampanye Terbuka Kalimantan Selatan,Kampanye Terbuka JK Kalimantan Selatan,2014-06-19,,2014-06-19,
0044,jk,Kampanye Terbuka Banten,Kampanye Terbuka JK Banten,2014-06-20,,2014-06-20,
0045,jk,Kampanye Terbuka Jawa Barat,Kampanye Terbuka JK Jawa Barat,2014-06-21,,2014-06-22,
0046,jw,Kampanye Terbuka Nusa Tenggara Timur,Kampanye Terbuka Jokowi Nusa Tenggara Timur,2014-06-23,,2014-06-23,
0047,jw,Kampanye Terbuka Sulawesi Tenggara,Kampanye Terbuka Jokowi Sulawesi Tenggara,2014-06-24,,2014-06-24,
0048,jk,Kampanye Terbuka Jawa Timur,Kampanye Terbuka JK Jawa Timur,2014-06-25,,2014-06-25,
0049,jw,Kampanye Terbuka Sulawesi Barat,Kampanye Terbuka Jokowi Sulawesi Barat,2014-06-25,,2014-06-25,
0050,jw,Kampanye Terbuka Jawa Barat dan Banten,Kampanye Terbuka Jokowi Jawa Barat dan Banten,2014-06-26,,2014-06-26,
0051,jk,Kampanye Terbuka Jawa Tengah,Kampanye Terbuka JK Jawa Tengah,2014-06-26,,2014-06-26,
0052,"jk,jw","Kampanye Terbuka Aceh, Sumatera Barat, Sumatera Selatan, Sulawesi Selatan, Maluku Utara, dan Papua","Kampanye Terbuka Jokowi/JK Aceh, Sumatera Barat, Sumatera Selatan, Sulawesi Selatan, Maluku Utara, dan Papua",2014-06-27,,2014-06-27,
