id_calon,ringkasan
1101-00-0000-1005,"1991-1998, SD NEGERI 85, LEUNG BATA, BANDA ACEH"
1101-00-0000-1006,"2002-2007, S1 FAKULTAS PSIKOLOGI, UIN SYARIF HIDAYATULLAH JAKARTA"
1101-00-0000-1006,"1999-2001, FAKULTAS TARBIYAH, UIN SYARIF HIDAYATULLAH JAKARTA"
1101-00-0000-1006,"1996-1999, SMAN 37 JAKARTA"
1101-00-0000-1006,"1993-1996, SLTP 17 AGUSTUS JAKARTA"
1101-00-0000-1006,"1987-1993, SDN 19 PAGI MANGGARAI JAKARTA"
1101-00-0000-1007,"1982, SDN 12 PETANG"
1101-00-0000-1007,"1994, SMP BINA PUTRA BANGSA"
1101-00-0000-1007,"1996, SMEA BINA NUSANTARA"
1101-00-0000-1401,"1991, SD NEGERI USI"
1101-00-0000-1401,"1993, MTSN BEURENEUN"
1101-00-0000-1401,"1995, MAN BEURENEUN"
1101-00-0000-1401,"2001, S1 SMI FAKULTAS SYARIAH IAIN AR-RANIRY"
1101-00-0000-1402,"1977, SD NEGERI KEUMALA"
1101-00-0000-1402,"1981, SMP NEGERI 1 KOTA BAKTI"
1101-00-0000-1402,"1984, SMA NEGERI KOTA BAKTI"
1101-00-0000-1403,"1999, MIN RUKOH"
1101-00-0000-1403,"2002, MTSN BANDA ACEH"
1101-00-0000-1403,"2005, SMA NEGERI 5 BANDA ACEH"
1101-00-0000-1403,"2012, S1 FKIP UNSYIAH"
1101-00-0000-1404,"1962-1969, SD LEMATANG,"
1101-00-0000-1404,SMPN 2 JAKARTA
1101-00-0000-1404,SMAN 1 JAKARTA
1101-00-0000-1404,STIE GANESHA
1101-00-0000-1404,UNIV TRISAKTI JAKARTA
1101-00-0000-1405,"1994, SMA MUHAMMADIYAH 3"
1101-00-0000-1406,"1999, MIN DIEN RAMPAK MEULABOH"
1101-00-0000-1406,"2002, MTSN MODEL 1 MEULABOH"
1101-00-0000-1406,"2005, SMA NEGERI 1 MEULABOH"
1101-00-0000-1406,"2010, S1 ILMU KEPERAWATAN UNSYIAH"
1101-00-0000-1406,"2011, PROGRAM KEDOKTERAN GIGI UNSYIAH"
1101-00-0000-1407,"1975, SMAN TAPAK TUAN"
1101-00-0000-1407,"1995, FE-UNKRIS, JAKARTA"
1101-00-0000-1501,"1962, SD NEGERI 21 MEDAN"
1101-00-0000-1501,"1965, SMPN NEGERI 03 MEDAN"
1101-00-0000-1501,"1969, SMA NEGERI 05 MEDAN"
1101-00-0000-1501,"1982, S1 FAKULTAS TEKNIK UNIVERSITAS TRISAKTI"
1101-00-0000-1503,"1980-1983, SMA INSTITUT INDONESIA"
1101-00-0000-1504,"1980-1983, SMTP"
1101-00-0000-1505,"1964, SR PIDIE"
1101-00-0000-1505,"1966, SMPN 1 BEURENEUN"
1101-00-0000-1505,"1967, SMAN 12 JAKARTA"
1101-00-0000-1505,"1985, S1 ADMINSTRASI UNIV. IBNU KHALDUN"
1101-00-0000-1506,"1996, SD"
1101-00-0000-1506,1999. SMP
1101-00-0000-1506,"2002, SMA"
1101-00-0000-1507,"2003-2006, SMAN 1 LABUHAN HAJI, ACEH"
1102-00-0000-0101,"1964-1969, SD, SD MUHAMMADIYAH, ACEH"
1102-00-0000-0101,"1969-1971, SLTP, SMP ACEH, ACEH"
1102-00-0000-0101,"1973-1976, SLTA, SMA ACEH, ACEH"
1102-00-0000-0102,"1976-1981, SD, SD NEGERI 06 BIREUN, ACEH"
1102-00-0000-0102,"1981-1984, SLTP, SMP NEGERI 1 BIREUN, ACEH"
1102-00-0000-0102,"1984-1987, SLTA, SMA NEGERI 1 BIREUN, ACEH"
1102-00-0000-0102,"1987-1994, S1, UNIVERSITAS SYIAH KUALA, BANDA ACEH"
1102-00-0000-0103,"1989-1994, SD, MUHAMMAADIYAH 55, JAKARTA"
1102-00-0000-0103,"1994-1996, SLTP, SMP NEGERI 73 JAKARTA, JAKARTA"
1102-00-0000-0103,"1996-1999, SLTA, MAN TUALANG TJUT, ACEH"
1102-00-0000-0104,"1964-1969, SD, MIN, TAKENGON"
1102-00-0000-0104,"1969-1972, SLTP, SMP, TAKENGON"
1102-00-0000-0104,"1972-1975, SLTA, STM, BANDA ACEH"
1102-00-0000-0104,"2005-2007, S1, UNIVERSITAS ISLANDAR MUDA, BANDA ACEH"
1102-00-0000-0105,SD PERSIT II KARTIKA CHANDRA KIRANA ( LULUS TAHUN 1
1102-00-0000-0105,SMP NEGERI 3 ( LULUS TAHUN 1979 )
1102-00-0000-0105,SMA NEGERI 2 ( LULUS TAHUN 1982 )
1102-00-0000-0105,S1 UNIVERSITAS SYIAH KUALA ( LULUS TAHUN 1990 )
1102-00-0000-0106,"1965-1970, SD, SD PERSIT, ACEH"
1102-00-0000-0106,"1970-1973, SLTP, SMP NEGERI II, ACEH"
1102-00-0000-0106,"1973-1976, SLTA, SMA NEGERI DARUSSALAM, ACEH"
1102-00-0000-0106,"1976-1981, S1, UNSYIAH, ACEH"
1102-00-0000-0106,"2000-2003, S2, UNSYIAH, ACEH"
1102-00-0000-0201,MIN
1102-00-0000-0201,MTSN
1102-00-0000-0201,MAN
1102-00-0000-0202,"1990, MTSN MATANG GLUMPANG DUA"
1102-00-0000-0202,"1993, MAN PEUSANGAN"
1102-00-0000-0202,"2001, IAIN AR-RANIRY"
1102-00-0000-0202,"2010-SEKARANG, S2 MAGISTER MANAJEMEN UNSIYAH"
1102-00-0000-0203,"1997, SD SWASTA PERSIAPAN MEDAN"
1102-00-0000-0203,"2000, MTS SWASTA HASANUDDIN MEDAN"
1102-00-0000-0203,"2003, SMK SWASTA NU MEDAN"
1102-00-0000-0203,"1980, SEKOLAH PENDIDIKAN GURU"
1102-00-0000-0203,"1976, SMP NEGERI 1"
1102-00-0000-0203,"1973, SEKOLAH DASAR 9"
1102-00-0000-0205,SD
1102-00-0000-0205,SMP
1102-00-0000-0205,SLTA
1102-00-0000-0206,"1995, TK NURUL HILAL SIMPANG ARJUN"
1102-00-0000-0206,"2001, SD NEGERI 1 BIREUEN"
1102-00-0000-0206,"2004, SMPN 1 BIREUEN"
1102-00-0000-0206,"2007, SMAN 1 BIREUEN"
1102-00-0000-0206,"2012, S1 ILMU KEPERAWATAN UNSYIAH"
1102-00-0000-0301,"1977, SDN 05 TANJUNG BARAT"
1102-00-0000-0301,"1981, SMPN 46 JAKARTA"
1102-00-0000-0301,"1984, SMAN 8 JAKARTA"
1102-00-0000-0301,"1986, LPBA JAKARTA"
1102-00-0000-0301,"1995, S1 LIPIA JAKARTA"
1102-00-0000-0301,"2010, S2 MAGISTER MANAJEMEN UNSYIAH"
