id,province_id,region_id,id_participant,endorsement_type,endorsement,vote_type,acceptance_status,document_completeness,research_result,acceptance_document_repair,amount_support,amount_support_repair,amount_support_determination,eligibility_support,eligibility_support_repair,pertahana,dynasty,amount_women,incumbent,resource,information
52,63,64768,519,PARPOL,"Partai Gerindra, PDIP, Partai Demokrat, PAN, Partai Hanura, PKS",KURSI,DITERIMA,LENGKAP,,,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=519,3
53,63,64768,207,PERORANGAN,,,,,,,41562,21668,Tidak diset,A,A,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=207,4
54,34,43506,961,PARPOL,"Partai Gerindra, PKB",KURSI,DITERIMA,TIDAK LENGKAP,BELUM MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=961,1
55,34,43506,276,PARPOL,"PDIP, Partai NasDem",KURSI,DITERIMA,TIDAK LENGKAP,BELUM MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=276,2
56,35,46475,553,PARPOL,"PDIP, Partai Gerindra, Partai NasDem, PKS, PAN",KURSI,DITERIMA,TIDAK LENGKAP,BELUM MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=553,1
57,35,46475,790,PARPOL,"Partai Golkar, Partai Hanura",KURSI,DITERIMA,TIDAK LENGKAP,BELUM MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=790,2
58,73,73920,561,PARPOL,"PDIP, Partai Golkar",KURSI,DITERIMA,LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=561,1
59,73,73920,1026,PARPOL,"Partai NasDem, Partai Demokrat, PAN",KURSI,DITERIMA,LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=1026,2
60,73,73920,548,PARPOL,"PPP, PKS, Partai Hanura, Partai Gerindra",KURSI,DITERIMA,LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=548,3
61,15,17401,242,PARPOL,"Partai NasDem, PKB, Partai Hanura",KURSI,DITERIMA,LENGKAP,BELUM MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=242,1
62,15,17401,598,PARPOL,"Partai Gerindra, Partai Golkar",KURSI,DITERIMA,LENGKAP,BELUM MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=598,2
63,15,17401,1032,PARPOL,"Partai Demokrat, PKS",KURSI,DITERIMA,LENGKAP,BELUM MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=1032,3
64,15,17401,318,PARPOL,"PDIP, PAN",KURSI,DITERIMA,LENGKAP,BELUM MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=318,4
65,19,26717,1155,PARPOL,"PBB, Partai Gerindra, Partai Golkar",KURSI,DITERIMA,,,,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=1155,1
66,19,26717,934,PARPOL,"PKS, Partai Hanura",KURSI,DITERIMA,,,,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=934,2
67,19,26717,931,PARPOL,"Partai NasDem, PDIP",KURSI,DITERIMA,,,,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=931,3
68,53,57621,1159,PARPOL,"Partai NasDem, PDIP",KURSI,DITERIMA,LENGKAP,BELUM MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=1159,1
69,53,57621,855,PARPOL,"Partai Demokrat, Partai Gerindra, Partai Golkar, PAN",KURSI,DITERIMA,LENGKAP,BELUM MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=855,2
70,53,57621,857,PARPOL,"PKB, Partai Hanura, PKS",KURSI,DITERIMA,LENGKAP,BELUM MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=857,3
71,14,15158,486,PARPOL,"PKS, PKB, PBB, PKPI, Partai NasDem",KURSI,DITERIMA,LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=486,1
72,14,15158,1187,PARPOL,"Partai NasDem, PDIP, PKPI, PAN",KURSI,DITERIMA,LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=1187,2
73,14,15158,1188,PARPOL,"Partai Demokrat, PDIP",KURSI,DITERIMA,LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=1188,3
74,61,61841,481,PARPOL,PDIP,KURSI,DITERIMA,TIDAK LENGKAP,BELUM MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=481,1
75,61,61841,464,PARPOL,"Partai NasDem, Partai Gerindra, PAN, Partai Hanura",KURSI,DITERIMA,LENGKAP,BELUM MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=464,2
76,17,21842,850,PARPOL,"Partai Demokrat, Partai NasDem",KURSI,DITERIMA,LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=850,1
77,17,21842,520,PARPOL,"PDIP, Partai Hanura, PKPI",KURSI,DITERIMA,LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=520,2
78,17,21842,851,PARPOL,"PPP, PKS, Partai Golkar",KURSI,DITERIMA,LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=851,3
79,17,21842,521,PARPOL,"Partai Gerindra, PAN",KURSI,DITERIMA,LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=521,4
80,17,22184,308,PARPOL,"PAN, PKS, Partai Hanura",KURSI,DITERIMA,LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=308,1
81,17,22184,38,PARPOL,"Partai Gerindra, PDIP, PBB, Partai Demokrat",KURSI,DITERIMA,LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=38,2
82,17,22184,374,PARPOL,"Partai NasDem, PKPI, PKB",KURSI,DITERIMA,LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=374,3
83,64,66981,666,PARPOL,"PPP, Partai Demokrat, Partai Gerindra, PDIP",KURSI,DITERIMA,LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=666,1
84,64,66981,544,PARPOL,"PKS, PBB, PAN",KURSI,DITERIMA,,,,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=544,2
85,52,56467,67,PERORANGAN,,,,,,,39041,15290,44035,A,A,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=67,1
86,52,56467,209,PARPOL,"PAN, PKB, PBB",KURSI,DITERIMA,LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=209,2
87,52,56467,309,PARPOL,"Partai NasDem, PDIP, Partai Demokrat",KURSI,DITERIMA,LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=309,3
88,52,56467,1033,PARPOL,"Partai Golkar, Partai Gerindra, Partai Hanura",KURSI,DITERIMA,LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=1033,4
89,21,26815,722,PARPOL,"Partai NasDem, Partai Demokrat, PKS",KURSI,DITERIMA,TIDAK LENGKAP,BELUM MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=722,1
