id_calon,ringkasan
1100-00-0000-0038,THN 1977 Guru Dayah Darul Huda Lueng Angen
1100-00-0000-0038,THN 1978 Guru Pengajian Di Matang Kuli
1100-00-0000-0039,"SD Negeri Blangjruen, 1972"
1100-00-0000-0039,"SMP Negeri Lhoksukon, 1975"
1100-00-0000-0039,"SMA Negeri Lhokseumawe, 1979"
1100-00-0000-0039,"Fakultas Teknik Unsyiah Banda Aceh, 1987"
1100-00-0000-0039,"Magister Teknik Mesin Unsyiah Banda Aceh, 2012"
1100-00-0000-0040,"Tahun: 1967, Sekolah Dasar (SD), Banda Aceh"
1100-00-0000-0040,"Tahun: 1970, Sekolah Lanjutan Pertama (SLP), Banda Aceh"
1100-00-0000-0040,"Tahun: 1974, Sekolah Lanjutan Atas (SLA)/ PGAN, Banda Aceh"
1100-00-0000-0040,"Tahun: 1976-1978, Universitas Islam Jakarta (UIJ), Jakarta"
1200-00-0000-0001,SMA Negeri 1 Kabanjahe SUMUT Lulus Tahun 1993
1200-00-0000-0001,Sarjana Ekonomi USU Medan Lulus Tahun 1998
1200-00-0000-0001,Magister Ilmu Ekonomi USU Medan Lulus Tahun 2004
1200-00-0000-0001,Doktor Ilmu Ekonomi Universitas Indonesia Jakarta Lulus Tahun 2013
1200-00-0000-0002,"Ph. D (Economics), Departement of economics, Ottawa University, Canada (1995)"
1200-00-0000-0002,"M. A. (Economics), William College, Massachusetts, USA (1989)"
1200-00-0000-0002,"Sarjana Pertanian, IPB, Bogor (1981)"
1200-00-0000-0002,"SMA BTB Katolik Balige, Sumatera Utara (1976)"
1200-00-0000-0003,1967: SD YP HKBP Pematang Siantar
1200-00-0000-0003,1970 SMP Pematang Siantar
1200-00-0000-0003,1973 SMA Campus FKIP Pematang Siantar
1200-00-0000-0003,1980 Sarjana Muda Ekonomi Universitas HKBP Nommensen Medan
1200-00-0000-0003,1982 Sarjana Ekonomi Universitas HKBP Nommensen Medan
1200-00-0000-0004,1969: SMA Negeri Binjai
1200-00-0000-0004,"1971-1976: S-1, Institut Teknologi Bandung"
1200-00-0000-0004,"1985-1990: S-3, University of Leeds, Inggris"
1200-00-0000-0005,SD.Negeri No.33 Jl.Madong Lubis di Medan Tahun 1973
1200-00-0000-0005,SMP. Josua II Bersubsidi di Medan Tahun 1975
1200-00-0000-0005,"SMA Perguruan Widyasana Utama di Medan, Tahun 1979"
1200-00-0000-0006,SD Al Washliyah Jl. BromoGg.: 1991 Aman Medan
1200-00-0000-0006,MTs.SPondokPesantren Modern: 1994 Aziddin Medan
1200-00-0000-0006,MAS Ex PGA Proyek UNIVA: 1997 Medan
1200-00-0000-0006,FISIP UMA Medan: 2006
1200-00-0000-0006,FH UNIVA Medan: 2006
1200-00-0000-0006,MSP FISIP USU Medan: 2010
1200-00-0000-0007,Doctor Of Philosophy Management (Ph.D) Chicago International University
1200-00-0000-0007,"Pascasarjana Universitas Padjajaran, Program Magister Manajemen, lulus tahun 1999"
1200-00-0000-0007,"Sekolah Tinggi Ilmu Administrasi Bandung, Jurusan Administrasi Negara, Bandung, lulus tahun 1986"
1200-00-0000-0007,"Universitas Veteran, Jakarta, Indonesia, lulus tahun 1975"
1200-00-0000-0007,"Sekolah Lanjutan Tingkat Atas, SMA Kristen Pematang Siantar, lulus tahun 1970"
1200-00-0000-0007,"Sekolah Lanjutan Tingkat Pertama Negeri I, Parapat, lulus tahun 1967"
1200-00-0000-0007,"Sekolah Dasar Negeri I, Girsang Parapat, lulus tahun 1964"
1200-00-0000-0008,SDN - 1 Pabatu Tahun 1977 - Tahun 1980
1200-00-0000-0008,SMP YAPENDAK Tahun 1980 - tahun 1983
1200-00-0000-0008,SMA I Tebing Tinggi Tahun 1983 - 1986
1200-00-0000-0009,THN 1985 - SMA NEG 225 SIDIKACANG
1200-00-0000-0009,THN 1994 - UNIVERSITAS SUMATERA UTARA
1200-00-0000-0010,SD TAMAT TAHUN 1986 DI SD 104197 DESA KLAMBIR KEC. HAMPARAN PERAK.
1200-00-0000-0010,SMP TAMAT TAHUN 1989 DI SMP NEGERI HAMPARAN PERAK.
1200-00-0000-0010,SMA TAMAT TAHUN 1992 DI SMA PAB 5 KLUMPANG
