id_calon,ringkasan
1200-00-0000-0006,Nop 2004 - Peb 2005 DPRD Propinsi Sumatera Utara Staf
1200-00-0000-0006,Peb 2005 - Nop 2005 SekretariatJenderal DPD/MPR RI AsistenAnggota DPD/MPR RI Alm. Drs. H. Abdul HalimHarahap
1200-00-0000-0006,Mar 2006 - Sekarang CV. Vida Insani Staf
1200-00-0000-0006,Juli 2010- sekarang UMN Al Washliyah Dosen
1200-00-0000-0007,Pengusaha
1200-00-0000-0008,Direktur PT Ezra Berkat Anugrah 2000 - Sekarang
1200-00-0000-0009,2004 - 2009 - ANGGOTA DPRD PROV SUMUT
1200-00-0000-0010,TIM MARKETING PT.YAKULT INDONESIA Tahun 2002
1200-00-0000-0010,ANGGOTA KOMISI PEMILIHAN UMUM DAERAH ( KPUD ) KAB. DELI SERDANG Tahun 2003 s/d 2008
1200-00-0000-0010,RELAWAN PADA ORGANISASI TARUNA SIAGA BENCANA
1200-00-0000-0011,2011 - Sekarang: Bussiness Management Head PT. Bakrie Sumatera Plantations - Jakarta
1200-00-0000-0011,2010 - 2011: Dirut PT. New Image Indonesia - Jakarta
1200-00-0000-0011,2003 - 2011: Corporate Service Manager Domba Mas Group - Jakarta
1200-00-0000-0011,1999 - 2002: GA & PR Manager RGM Group - Jakarta
1200-00-0000-0011,1993 - 1999: Ka. Humas PT. Riau Andalan Pulp & Paper - Riau
1200-00-0000-0011,1992 - 1993: Ka Distrik HTI Pola PIR PT. Inti Indorayon - Porsea
1200-00-0000-0011,1989 - 1991: Kepala Proyek Perkebunan Jahe &Jagung Puskud Harapan Sumut - Medan
1200-00-0000-0013,Pegawai Departemen Agama (1976 - 1986 )
1200-00-0000-0013,Dosen Kopertis Wilayah I NAD ( 1986 - 2000 )
1200-00-0000-0013,Anggota DPRD Kota Medan ( 1999 - 2004 )
1200-00-0000-0013,Anggota DPRD Sumatera Utara ( 2004 - 2009 )
1200-00-0000-0013,Anggota DPR Republik Indonesia ( 2009 - 2014 )
1200-00-0000-0014,WIRASWASTA
1200-00-0000-0015,"Guru Pesantren Persatuan Islam Bangil,Jawa Timur (1988-1997)"
1200-00-0000-0015,"Guru Pesantren Al-Uswah, Kuala, Langkat (1998-sekarang)"
1200-00-0000-0015,Staf pengajar STAI.S Medan (2009-...)
1200-00-0000-0016,"1988- 1995: Mengajar di STM Mayiend Sutono, Dharma Bakti Medan, SMP Trikarya, SMA Trepes, STM Dharma Sakti Di Deli Serdang dan sebagi Kepala STM dan SMP Mayjend Sutono (1991- 1994)"
1200-00-0000-0016,"1996-1997: Inspector Overlay Jalan Provinsi Simpang Kawat - Tanjung Balai,P3JJ Provinsi Sumatera Utara/APBN"
1200-00-0000-0016,"1998-1999: Konsultan pendamping P3DT kec. Teluk Dalam, Idanogawo, dan Gido Kabupaten Nias"
1200-00-0000-0016,"1999-2000: Ass. KMT-Kab P3PT-OECF Kabupaten Nias ( Kec. Gido, Idanogawo, Alasa, dan Tuhemberua)"
1200-00-0000-0016,"2000-2002: Fasilitator P2D-JBIC di Kab. Labuhan Batu (Padang Maninjau, Karang Anyar, Panigoran, Aek Korsik dan Bandar selamat)"
1200-00-0000-0016,"2003-2006: KMT-Kabupaten PPK Lombok Barat- NTB (Kec. Gerung, Sekotonga,Kediri, Labuanapi, Narmada, Bayan, Lingkar, dan Pemenang)."
1200-00-0000-0016,"2006-2009: KMT-Kabupaten PPK/PNPM/PNPM-R2PN Kab. Nias (Bawolato, Idanogawo, Gido, Gunungsitoli, Tuhemberua, Lotu, Lahewa, Botomuzoi,Lahewa Timur, Namohalu Esiwa, Afulu, Alasa, Hiliduho, Hiliserangkai, Lolofitu moi, Mandrehe, Sirombu, Botomuzoi)."
1200-00-0000-0016,2006-2009: Dosen di Fakultas Pendidkan Teknik Bangunan IKIP Gunung sitoli.
1200-00-0000-0016,"Januari - Mei 2010: Fas. T Kab PNPM-MP Simalungun ( Bandar, Raya, Purba, Silimakuta, Bosar Maligas,, Silokahean, Pematang Silimakuta, Tanah Jawa, Ujung Padang dan Dolok Batu Nanggar."
1200-00-0000-0016,"Juni 2010-2013: Bridge Engineer UN-ILO RACBP Pembangunan Jembatan di seluruh Pulau Nias (Kab. Nias, Nias Utara Nias Barat, Nias Selatan dan Kodya Gunungsitoli) di 24 Kecamatan membangun 46 unit Jembatan terdiri dari 12 Unit Jembatan Gantung, 18 Unit Jembatan STB, 16 Unit Baby Bridge (Total 1984 M), Bersumber dari dana MDF"
1200-00-0000-0017,Anggota DPD Rl Periode 2009 - 2014
1200-00-0000-0018,Dosen Fisip UMSU
1200-00-0000-0018,Guru SMP Muhammadiyah 1 Medan
1200-00-0000-0018,Kepala Panti Asuhan Putera Muhammadiyah Medan
1200-00-0000-0019,Pimpinan Umum Metro 24 Jam (2007 s/d sekarang)
1200-00-0000-0019,Pimpinan Umum Siantar 24 Jam (2008 s/d sekarang)
1200-00-0000-0020,KTU DPW PPP Sumut Tahun 1997 - 1999.
1200-00-0000-0020,KTU Madrasah Aliyah Proyek UNIVA Tahun 1992 - 1997.
1200-00-0000-0020,Anggota DPRD Sumut Tahun 1999 - 2004.
1200-00-0000-0020,Anggota DPRD Sumut Tahun 2004 - 2009.
1200-00-0000-0020,Anggota DPRD Sumut Tahun 2009 - 2014.
1200-00-0000-0021,"Board of Director TD Pardede Holding Company, 1968-1972"
1200-00-0000-0021,"Direktur Hotel Danau Toba Internasional, 1972-1974"
1200-00-0000-0021,"Direktur Pertextilan TD Pardede, 1974-1976"
1200-00-0000-0021,"Ketua Umum Kesebelasan Pardedetex, 1978-1980"
1200-00-0000-0021,"Ketua Umum Dewan Pembangunan Gereja Injil Indonesia, 1992- 1999"
1200-00-0000-0021,"Dewan Komisaris TD Pardede Holding Company, 1992-1999"
1200-00-0000-0021,"Badan Pengawas Yayasan TD Pardede Foundation, 1992-1999"
1200-00-0000-0021,"Presiden Komisaris PT. Berkat Kasih Karunia, 1992-1999"
1200-00-0000-0021,"Presiden Komisaris Balai Hermina Jakarta, 1990-1999"
1200-00-0000-0021,"Pemimpin Umum Harian Umum Perjuangan, 1998-1999"
1200-00-0000-0021,"Wakil Gubernur Provinsi Sumatera Utara, 2003-2005"
1200-00-0000-0021,"Gubernur Provinsi Sumatera Utara, 2005-2008"
1200-00-0000-0021,"Anggota Dewan Perwakilan Daerah (DPD) RI Perwakilan Sumut, 2009-2014."
1200-00-0000-0022,"Guru PGAN Peanornor, Tapanuli Utara, Tahun 1980 - 1984"
1200-00-0000-0022,"Pegawai Humas Kanwil Departemen Agama Sumatera, Tahun 1984 - 1986."
1200-00-0000-0022,"Kepala Sub Bagian Humas Kanwil Departemen Agama Sumatera Utara, Tahun 1986 - 1993."
1200-00-0000-0022,"Kepala Sub Bagian Umum Kanwil Departemen Agama Sumatera Utara, Tahun 1993 - 1995."
1200-00-0000-0022,"Kepala Bagian Sekretariat Kanwil Departemen Agama Sumatera Utara, Tahun 1995 - 1998."
1200-00-0000-0022,"Kepala Bidang Urusan Haji Kanwil Departemen Agama Sumatera Utara, Tahun 1998-1999."
1200-00-0000-0022,"Kepala Kantor Departemen Agama Kota Tanjung Balai, Tahun 1999 - 2001."
1200-00-0000-0022,"Kepala Bidang Penyelenggaraan Haji, Zakat dan Wakaf Kanwil Departemen Agama, Tahun 2001 - 2007."
1200-00-0000-0022,"Kepala Kanwil Kementerian Agama Provinsi Sumatera Utara, Tahun 2007 - 2011."
1200-00-0000-0022,"Direktur Pengelolaan Dana Haji Kementerian Agama Provinsi Sumatera Utara, Tahun 2011 - 2013."
1200-00-0000-0022,Dosen Fakultas Ushuluddin IAIN Sumatera Utara (Market - April 2013) / mengundurkan diri sejak tanggal 05 April 2013.
1200-00-0000-0023,Dosen AMB Belawan Tahun 1992-1997
1200-00-0000-0023,Dosen FE UDA Tahun 1997-2004
1200-00-0000-0023,Dosen FE UNPRI Tahun 2005-Sekarang
1200-00-0000-0023,Dosen FE USI Tahun 2009-Sekarang
1200-00-0000-0023,Dosen Pasca Sarjana Universitas HKSP Nommensen Tahun 2008-2011
1200-00-0000-0023,Dosen FE UMA Tahun 2009-2010
1200-00-0000-0023,Konsultan P3DT OECF Tahun 1999-2001
