id_calon,ringkasan
1200-00-0000-0010,PENGURUS KARANG TARUNA KABUPATEN DELI SERDANG DARI TAHUN 1996 S/D 2005 Bidang PENGEMBANGAN ORGANISASI
1200-00-0000-0010,PENGURUS KARANG TARUNA PROPINSI SUMATERA UTARA DARI TAHUN 1996 S/D 2001 Bidang EKONOMI PRODUKTIF
1200-00-0000-0010,PENGURUS PUJAKESUMA KABUPATEN DELI SERDANG DARI TAHUN 2004 S/D 2008 Bidang PENGEMBANGAN GENERASI MUDA
1200-00-0000-0010,ANGGOTA DEWAN PRESEDIUM JAWA REMBUK DARI TAHUN 2007 S/D 2009
1200-00-0000-0010,KORDINATOR TARUNA SIAGA BENCANA PROPINSI SUMATERA UTARA DARI TAHUN 2005 s/d SEKARANG.
1200-00-0000-0010,PENGURUS LEMBAGA LINGKAR DEMOKRASI INDONESIA.
1200-00-0000-0011,2013 - sekarang: Ketua Dewan Penasihat Koperasi Forum Komunitas Indonesia Mandiri (FKIM) - Padang Lawas.
1200-00-0000-0011,2009 - sekarang: Pengurus DPP- Forum Komunikasi Pengusaha Kecil Menengah Indonesia (FK.PKMI )-Jakarta.
1200-00-0000-0011,2004 - 2009: Executive Director BUMN Care - Jakarta
1200-00-0000-0011,1994 - 1997: Wkl Ketua PUK SPSI PT. RAPP - Riau.
1200-00-0000-0011,1990 - 1992: Ketua Alumni Fak. Pertanian Universitas Medan Area - Medan
