id_calon,riwayat_pendidikan
1203-00-0000-0708,52 Universitas Medan Area. 20l l
1203-00-0000-0404,"SD Negeri Teladan di Sidikalang, Sumatera Utara"
1203-00-0000-0404,"SMP Negcri I Sidikalang, Sumateca Utara"
1203-00-0000-0404,"SMP BPPK Bandung, Jawa Barat"
1203-00-0000-0404,"SMA BPPK Bandung, Jawa Barat"
1203-00-0000-0404,"S1 . Fakultas Hukum Universitas Katolik Parahyangan, Bandung"
1203-00-0000-0404,"S2 Program Magister Management Universitas Satyagama, Jakarta"
1203-00-0000-0404,"S2 Magister Hukum Pidana Universitas Padjadjaran, Bandung"
1203-00-0000-0404,"S3. Doktok Ilmu Hukum Universitas Padjadjaran, Bandung"
1203-00-0000-0801,"Universitas Muhammadiyah Sumetera Utara, Sumeatera Utara, 1984-1984"
1203-00-0000-0801,"SMA Negeri Medan, Medan, 1981-1984"
1203-00-0000-0801,"SMP Muallimin Muhammadiyan, Medan, 1978-1981"
1203-00-0000-0801,"SD Muhammadiyan 01, Medan, 1972-1978"
1301-00-0000-0102,"1979-1985, SD, SD, SAWAH LUTNTO"
1301-00-0000-0102,"1985-1988, SLTP, SMP, PADANG"
1301-00-0000-0102,"198-1991, SLTA SMA PADANG"
1301-00-0000-0506,"1977-1980, SLTA, SMA BATUSANGKAR, SUMBAR"
1301-00-0000-0506,"1980-1987, SI, AKUNTASI FAK. EKONOMI UNIVERSITAS ANDALAS, PADANG"
1301-00-0000-0506,"2001-2007. S2, MAGISTER MANAJEMEN UNIVERSITAS ANDALAS, PADANG"
1301-00-0000-0901,Sekolah Tinngi Ilmu Pelayaran. Jakarta. 19
1301-00-0000-0901,BP3IP. Jakarta. 19.
1301-00-0000-0901,Pendidikan Perwira Pelayaran Besar. Semarang. 1985
1301-00-0000-0901,SMA Negeri Solok. Solok. 1982
1301-00-0000-0901,SMP Negeri Singkarak. Solok. 1979
1301-00-0000-0901,SD No.2 Singkarak. Solok. 1976
1301-00-0000-0601,SR No. 7 Padang Panjang Tahun 1962
1301-00-0000-0601,SMPN 2 Padang Panjang Tahun 1966
1301-00-0000-0601,SMAN 1 Bukittinggi Tahun 1969
1301-00-0000-0601,"Fakultas Kedokteran, Universitas Andalas Padang Tahun 1979"
1301-00-0000-0601,"Magister Manajemen Rumah Sakit, UGM Yogyakarta Tahun 2001"
1301-00-0000-0301,"S2 Magister Manajemen STM ""IMMI"" Jakarta, 2003"
1301-00-0000-0301,"S1 Manajemen FE UNKRIS Jakarta, 1986"
1301-00-0000-0301,"SMA N XVIII Jakarta, 1979"
1301-00-0000-0301,"SMP N XXII Jakarta, 1975"
1301-00-0000-0301,"SD N II Kuraitaji Padang Pariaman, 1972"
1301-00-0000-0702,"SR No. I di Pasar Baru Bayang, Kab. Pesisir Selatan Tahun 1963"
1301-00-0000-0702,"SMP Negeri Painan di Painan, Kab. Pesisir Selatan Tahun 1966"
1301-00-0000-0702,"SMA Negeri 2 Padang di Padang, Tahun 1969"
1301-00-0000-0702,Akademi Angkatan Bersenjata Republik Indonesia Jurusan Darat (AKABRI Darat) di Magelang Thn 1973
1301-00-0000-0702,Sekolah Staf dan Komando Angkatan Darat (SESKD AD) di Bandung Tahun 1989
1301-00-0000-0702,Sekolah Tinggi Ilmu Administrasi Negara Lembaga Administrasi Negara (STIA LAN) di Jakarta Thn 1996
1301-00-0000-0401,1976-1983 Sekolah Dasar Agnes Padang
1301-00-0000-0401,1983-1986 Sekolah Menegah Pertama Frater Padang
1301-00-0000-0401,1986-1989 Sekolakh Menegah Atas Don Bosko Padang
