id_calon,riwayat_organisasi,
1201-00-0000-0401,"1996-SEKARANG, ANGGOTA PDI PERJUANGAN",
1201-00-0000-0402,KETUA YAYASAN BIDANG PERGURUAN TINGGI SULTAN ISKANDAR MUDA BIDANG PENDIDIKAN,
1201-00-0000-0402,KETUA ORGANISASI EKOSISTEM LESTARI BIDANG PELESTARIAN LINGKUNGAN HIDUP DAN BENCANA ALAM,
1201-00-0000-0402,"2001-2007, PENASEHAT PAGUYUBAN SOSIAL MARGA TIONGHOA INDONESIA SUMATERA UTARA",
1201-00-0000-0402,"2006-2009, SEKRETARIS UMUM IKATAN ALUMNI SMA SUTOMO",
1201-00-0000-0402,"2002-SEKARANG, KETUA DEWAN PENASEHAT YAYASAN HANGKAWG SUNGOST",
1201-00-0000-0402,KETUA PEMBINA YAYASAN PAT TI HU COU,
1201-00-0000-0402,KETUA DEWAN KEHORMATAN MAJELIS AGAMA KONG HU CU INDONESIA SUMATERA UTARA,
1201-00-0000-0402,"1998-2000, KETUA FORDSA UKM SUMUT",
1201-00-0000-0402,"2000-2004, KETUA PRESIDIUM FORNAS UKM (2 PERIODE)",
1201-00-0000-0402,"2002-2007, ANGGOTA KPEN",
1201-00-0000-0402,"2007-2010, PENGURUS IKATAN DOKTER INDONESIA",
1201-00-0000-0402,"2006-2011, ANGGOTA DEWAN PENDIDIKAN PROV. SUMUT",
1201-00-0000-0402,"2008-2011, PENASEHAT IKATAN ANAK GURU INDONESIA",
1201-00-0000-0402,"2004-2008, KETUA PENGCAB PERBASI MEDAN",
1201-00-0000-0402,"2007-2011, KETUA DEWAN PENASEHAT PERBASI SUMUT",
1201-00-0000-0402,"2001-2008, KETUA CLUB BOLA BASKET GELORA SUNGGAL",
1201-00-0000-0402,"2010-2015, WAKIL KETUA DPD PDI PERJUANGAN PROV. SUMUT",
1201-00-0000-0801,"Ikatan Advokat Indonesia (IKADIN),Anggota, 2003 - Sekarang",
1201-00-0000-0801,"Pengurus Pimpinan Pusat Perguruan Tapak Suci Putera Muhammadiyah,Anggota, 2004-",
1201-00-0000-0801,"DPP Partai Amanat Nasional, Wakil Ketua, 2010-2015",
1201-00-0000-0801,"DPP Partai Amanat Nasional, Ketua Departemen, 2000-2005",
1201-00-0000-0801,"Asosiasi Advokat Indonesia (AAI),Anggota, 1992-2003",
1201-00-0000-0801,"DPP Partai Amanat Nasional,Anggota, 1998- 2000",
1202-00-0000-0102,Ketua III Panitia Pemekaran Kabupaten Humbang Hasundutan,
1202-00-0000-0102,Ketua Panitia Pembangunan Gereja HKBP Pamulang Kotamadya Tangerang Selatan,
1202-00-0000-0102,2000 - 2010: Sekretaris Paguyupan Silaban Sej abotabek,
1202-00-0000-0102,2001 - 2006: Ketua Bidang Humas GAPENSI Jaksel,
1202-00-0000-0102,2006 - 2011: Wakil Ketua GAPEKSINDO Jakse,
1202-00-0000-0102,2011 - skrg: Ketua Dewan Pertimbangan GAPEKSINDO Jaksel,
1202-00-0000-0102,2010 - 2015: Wkl. Ketua Paguyuban Silaban Sejabotabek,
1202-00-0000-0102,2010 - 2015: Ketua Umum Paguyuban Silaban Indonesia - Dunia,
1202-00-0000-0501,"1988-2004, DPP PARTAI GOLKAR, KETUA, JAKARTA",
1202-00-0000-0501,"2009-2015, DPP PARTAI GOLKAR BID.KERJASAMA DENGAN ORMAS, KETUA, JAKARTA",
1202-00-0000-0201,"Ketaa Cabang PMII Kota Medan, 1988-1989",
1202-00-0000-0201,"Sekretaris PW GP Ansor Sumut, 1990-1995",
1202-00-0000-0201,"Wakil Ketua KNPI Sumut, 1992-1994",
1202-00-0000-0201,"Sekretaris PW PW NU Sumut, 1995-1999",
1202-00-0000-0201,"Sekretaris DPW PKB Sumut, 1999-2004",
1202-00-0000-0601,"Ketua Umum Persatuan Atletik Seluruh Indonesia (PASI) Kota Tebing Tinggi, periode 1996-2000.",
1202-00-0000-0601,"Ketua Umum Persatuan Atletik Seluruh Indonesia (PASI) Propinsi Sumatera Utara, periode 2002-2007.",
1202-00-0000-0601,"Ketua Umum Persatuan Atletik Seluruh Indonesia (IAI) Sumatera Utara, periode 2004-2009, 2011-2016",
1202-00-0000-0601,"Ketua Umum Badan Pengurus Cabang Perhimpunan Hubungan Masyarakat (PERHUMAS) Medan, periode 2007-2009.",
1202-00-0000-0601,"Wakil Ketua Asosisasi Bank Daerah (ASBANDA) Bidang Pengembangan Bisnis, periode 2004-2008.",
1202-00-0000-0601,"Wakil Ketua Asosisasi Bank Daerah (ASBANDA) Bidang Informasi Tenknologi, periode 2008-2012.",
1202-00-0000-0601,"Wakil Sekretaris Komisi Pengawas Pengurus BAZDA Propinsi Sumatera Utara, periode 2007-2009.",
1202-00-0000-0601,"Ketua Umum Masyarakat Ekonomi Syariah (MES) Sumatera Utara, periode 2007-2009, 2011-2013",
1202-00-0000-0601,"Ketua Umum Komite Olahraga Nasional (KONI) Propinsi Sumatera Utara, periode 2007-2011, 2011-2014",
1202-00-0000-0601,"Anggota Dewan Pimpinan Pusat Ikatan Bankir Indonesia (IBI) Bidang Komunikasi, periode 2007-2011.",
1202-00-0000-0601,"Penasehat Dewan Pimpinan Daerah Ikatan Bankir Indonesia (IBI) Komisariat Medan, periode 2008-2012.",
1202-00-0000-0601,"Anggota Dewan Pakar Pengurus Pusat Masyarakat Economi Syariah (MES), periode 2008-2011.",
1202-00-0000-0601,Anggota Komisi Pengawas Badan Amil Zakat Daerah (BAZDA) Sumatera Utara Periode 2010-2013.,
1202-00-0000-0601,"Anggota Dewan Pakar KAHMI Sumut, periode 2010-2015.",
1202-00-0000-0604,WAKIL KETUA GANIKI SUNIUT,
1202-00-0000-0604,WAKIL KETUA HRTI SUNIUT,
1202-00-0000-1010,2007 -sekarang: Ketua DPP HANURA,
1202-00-0000-1010,"1980 - 2007: DPP GOLKAR, Anggota dan Kader",
1202-00-0000-1010,"2007 -2003: Fungsionaris GOLKAR, Anggota korda Sumut",
1202-00-0000-1010,2003 - 2004: Tim Advokasi PDIP Pusat,
1202-00-0000-0301,Ketua yayasan Bumi Andalas Bidang Riset dan Pengembangan 1995-2000,
1202-00-0000-0301,Ketua Pusat Studi Islam Fajar Hidayah 2008- sekarang,
1202-00-0000-0706,,
1202-00-0000-0401,"Ketua Umum POFI (Persatuan Olahraga Futsal Seluruh Indonesia), tahun 2003",
1202-00-0000-0401,"Ketua Bidang Hukum KTI (Komisi Tinju Indonesia), tahun 2002",
1202-00-0000-0401,"Anggota Bidang Pendanaan PGSI ( Persatuan Gulat Seluruh Indonesia ), tahun 2003",
1202-00-0000-0401,"Wakil Ketua Umum PERTINA (Persatuan Tinju Amatir Indonesia), tahun 2007-2011",
1202-00-0000-0401,"Pendiri, Koperasi Serba Usaha PERKASA ALAM SEJAHTERA, Kab. Labuhan Batu, Sumatera Utara, 2004-2009",
1202-00-0000-0401,"Ketua Dewan Pembina Paduan Suara SOLAFIDE Gereja HKBP Soeprapto, 2011-sekarang",
1202-00-0000-0401,"Pendiri Majalah TOBA DREAM Jakarta, 2012",
1202-00-0000-0401,Ketua Banteng Muda Indonesia Masa Bakti 2005- 2010 (SK DPP No. 34/TAP/XII/2006 tanggal 12 Desember 2006),
1202-00-0000-0401,"Badan kerjasma Mahasiswa Jakarta, Pendiri, tahun 1986",
1202-00-0000-0401,"Teater Neraca Universitas Pancasila Jakarta, Pendiri, tahun 1985",
1202-00-0000-0401,"Yayasan PIJAR, Pendiri; tahun 1987",
1202-00-0000-0401,"Perhimpunan Bantuan Hukum dan Hak Asasi Manusia (PBHI), Anggota Dewan Pendiri, tahun 1996-1998",
1202-00-0000-0401,"Serikat Pengacara Indonesia (SPI), Pendiri dan Ketua Umum; tahun 1997 - sekarang",
1202-00-0000-0401,"Komite Kerja Advokat Indonesia ( KKAI ), Anggota Dewan pendiri; tahun 2002- sekarang",
1202-00-0000-0401,"Persatuan Advokat Indonesia ( PERADI ), Ketua; tahun 2005-sekarang",
1202-00-0000-0801,"DPP Asosioasi Dosen Indonesia, Wakil Ketua, 2012 - 2017",
1202-00-0000-0801,"Pimpinan Pusat Muhammadiyah, Wakil Ketua Lembaga Hukum dan HAM, 2010 - 2015",
1202-00-0000-0801,"Dewan Pakar ICMI Pusat, Wakil Sekjend, 2010 - 2015",
1202-00-0000-0801,"Majelis Ulama Indonesia, Ketua Komisi Luar Negeri, 2010- 2015",
1202-00-0000-0801,"Pimpinan Pusat Pemuda Muhammadiyah, Ketua Umum, 2010 - 2014",
1202-00-0000-0801,"Pimpinan Pusat Pemuda Muhammadiyah, Ketua, 2006 - 2010",
1202-00-0000-0801,"Pimpinan Pusat Pemuda Muhammadiyah, Sekretaris Lembaga Hukum dan HAM, 2005 - 2010",
1202-00-0000-0801,"Pimpinan Pusat Pemuda Muhammadiyah, Wkil Sekjend, 2002 - 2006",
1202-00-0000-0801,"PC. Ikatan Mahasiswa Muhammadiyah, Medan, Wakil Ketua, 1996 - 1998",
1202-00-0000-0801,"PK. Ikatan Mahasiswa Muhammadiyah USU, Ketua, 1994 - 1996",
1203-00-0000-0101,1993: Ketua DPD AMPI Kota Binjai 1999,
1203-00-0000-0101,1997: Sekretaris MPI KNPI Kota Biniai Tahun 2001,
1203-00-0000-0101,1999: Sekretariat Ikatan Sarjana Melayu Indonesia 2004 (SMI)Kota Binjai Tahun,
1203-00-0000-0101,1999: Bendahara Majelis Adat Budaya Melayu Indonesia 2002 (MABMI) Kota Binjai Tahun,
1203-00-0000-0101,1998: Ketua Gabungan Pelaksanaan Kontruksi Nasional 2002 Indonesia (GAPENSI) Tahun di Langkat,
1203-00-0000-0101,1997: Wakil Ketua Kamar Dagang Dan Industri 2002 (KADINDA) Langkat Tahun,
1203-00-0000-0101,1995: Ketua Asosiasi Rekanan Dan Distribusi Indonesia 1999 (ARDIN) Langkat Tahun (ARDIN) Langkat Tahun (ARDIN) Langkat Tahun,
1203-00-0000-0101,1994: Ketua Himpunan Pengusaha Pribumi lndonesia 1999 (HIPPI) Kota Binjai Tahun,
1203-00-0000-0101,1993: Wakil Ketua DPD Golkar Kota Binjai Tahun 2003,
1203-00-0000-0101,1999: Ketua Fraksi Partai Golkar DPRD Kota Binjai Ketua DPD Golkar Kota Binjai Ketua DPD Golkar Kota Binjai Ketua DPD Golkar Kota Binjai Ketua DPD Golkar Kota Binjai,
1203-00-0000-0101,2004: Ketua DPD Golkar Kota Binjai,
1203-00-0000-0101,2004: Ketua DPD Partai Golkar Sumut Tahun 2009,
1203-00-0000-0101,2005: Ketua Ika MKN Sumut Tahun,
1203-00-0000-0101,2005: Ketua Gami Sumut Tahun,
1203-00-0000-0101,2O07: Ketua Forum Komunikasi Konotariatan lndonesia (FOMKI) Tahun,
1203-00-0000-0101,2010: Ketua Organisasi Keanggotaan Nasional Demokrat,
1203-00-0000-0101,2011: Ketua Partai Nasdem Sumatra Utara,
1203-00-0000-0501,"1998-2015, KOMISI TINJU INDONESIA PUSAT, KETUA UMUM, JAKARTA",
1203-00-0000-0501,"1995-2006, DPP APJATI, WAKIL UMUM DAN SEKJEND, JAKARTA",
1203-00-0000-0503,"2012-2013, DPD PARTAI GOLKAT, WAKIL",
1203-00-0000-0901,"Ketua Bidang PA, HMI Fak. Syari'ah IAIN SU, 1993",
1203-00-0000-0901,"Ketua Umum, Senat Mahasiswa Fakultas Syari'ah IAIN SU, 1994",
1203-00-0000-0901,"Wakil Sekretaris, HMI Cabang Medan, 1995",
1203-00-0000-0901,"Koordinator Umum, Forum Indonesia Muda (FIM),1999",
1203-00-0000-0901,"Sekretaris, Persaudaraan Pekerja Muslim Indonesia (PPMI) sumatera Utara,2000",
1203-00-0000-0901,"Sekretaris Umum, Pimpinan wilayah Pemuda Muslimin Indinesia Sumatera Utara, 2002",
1203-00-0000-0901,"Ketua, Pimpinan Waliyah Generasi Muda Pembangunan Indonesia Sumatera Utara, 2005",
1203-00-0000-0901,"Ketua, DPW Partai Persatuan Pembangunan Sumatera Utara, 2006",
1203-00-0000-0901,"Ketua Yayasan, Pusat Kajian Perlindungan anak (PKPA), 2007",
1203-00-0000-0901,"Penasehat, Pimpinan wilayah Al Jam'iyatul washliyah Sumatera Utara, 2010",
1203-00-0000-0901,"Penasehat, Badan Silaturrahim Pesantren Se-Sumatera Utara (BSPSU), 2010",
1203-00-0000-0901,"Penasehat, Forum Komunikasi diniyah Takmiliyah Sumatera Utara, 2012",
1203-00-0000-0901,"Ketua, DPW Partai Persatuan Pembangunan Sumatera Utara, 2011",
1203-00-0000-0601,KETUA PELAJAR SE JKT SELATON 1970,
1203-00-0000-0601,PIMPINAN MPM/SENAT/BPM JI 1971 - 1976,
1203-00-0000-0601,DPP KNPI PUSAT 1979 - 1987,
1203-00-0000-0601,KETUA DepARTMENT PELATIHAN KADIN 1978 - 1989,
1203-00-0000-0601,KETUA DPN HKTI PUSAT 2006 SKAG,
1203-00-0000-1005,Ketua Pemuda Panca Marga Kec. Bandar 1990-1998,
1203-00-0000-1005,Ketua Pemuda Panca Marga Keb. Simalungun 1998-2003,
1203-00-0000-1005,Ketua PNBK Kabupaten simalungun 2003-2008,
1203-00-0000-1005,Ketua PNBK Propinsi Sumatera Utara 2005-2010,
