id,text,url_small,width_small,height_small,url_medium,width_medium,height_medium,url_large,width_large,height_large
038,Jokowi-JK 2014,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-38-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-38-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-38-lg.png,800,800
039,Kerja Nyata Blusukan Jokowi-JK,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-39-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-39-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-39-lg.png,800,800
040,Jokowi for President,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-40-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-40-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-40-lg.png,800,800
041,Indonesia Choose JKW-JK,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-41-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-41-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-41-lg.png,800,800
042,Membumi Sederhana Merakyat JKW-JK,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-42-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-42-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-42-lg.png,800,800
043,Prabowo-Hatta Pemimpin Bangsa,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-43-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-43-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-43-lg.png,800,800
044,Sahabat muda Jokowi-JK #GerakCepat,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-44-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-44-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-44-lg.png,800,800
045,PS4P!,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-45-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-45-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-45-lg.png,800,800
046,Go Vote PS4P!,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-46-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-46-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-46-lg.png,800,800
047,Indonesia Choose! PSP2014,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-47-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-47-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-47-lg.png,800,800
048,Prabowo/Hatta 2014,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-48-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-48-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-48-lg.png,800,800
049,Selamatkan Indonesia,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-53-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-53-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-53-lg.png,800,800
050,Prabowo 4 President,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-56-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-56-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-56-lg.png,800,800
051,PS4P!,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-57-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-57-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-57-lg.png,800,800
052,Patriotisme,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-58-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-58-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-58-lg.png,800,800
