id,nama_calon,nama_wakil_calon,qwords
81,"H. MUSTAFID FAUZAN, S.E","SRI HARMANTO, S.E, M.Si","info pasangan calon H. MUSTAFID FAUZAN, S.E SRI HARMANTO, S.E, M.Si"
633,"Hj. SRI HARTINI, SE",Hj. SRI MULYANI,"info pasangan calon Hj. SRI HARTINI, SE Hj. SRI MULYANI"
1006,"H. Muh. Buddu, SE","H. Ridwan Basnapal, SE","info pasangan calon H. Muh. Buddu, SE H. Ridwan Basnapal, SE"
224,H. Syamsu Alam,"Farida Harianti, SH","info pasangan calon H. Syamsu Alam Farida Harianti, SH"
506,"H. Wahyu Ade Pratama Imran, SH",Idul Fitri Syam,"info pasangan calon H. Wahyu Ade Pratama Imran, SH Idul Fitri Syam"
507,"Drs. H. Tony Herbiansyah, M.Si","Hj. Andi Merya Nur, S.IP","info pasangan calon Drs. H. Tony Herbiansyah, M.Si Hj. Andi Merya Nur, S.IP"
985,H. M. Nur Sinapoy,H. Abd. Salam,info pasangan calon H. M. Nur Sinapoy H. Abd. Salam
986,M. Ridwan Landipo,Kurdin Wahab,info pasangan calon M. Ridwan Landipo Kurdin Wahab
508,"Ir. Amrullah, MT","Lutfi Andi Hamid, SE, MM","info pasangan calon Ir. Amrullah, MT Lutfi Andi Hamid, SE, MM"
942,"Rusmin Abdul Gani, SE",H. Muhlis M. SE,"info pasangan calon Rusmin Abdul Gani, SE H. Muhlis M. SE"
943,"H. Surunuddin Dangga, ST, MM","Dr. H. Arsalim, SE., M.Si","info pasangan calon H. Surunuddin Dangga, ST, MM Dr. H. Arsalim, SE., M.Si"
226,"Muhammad Endang SA, S.Sos",Ir. H. Muh. Nurfa Thalib,"info pasangan calon Muhammad Endang SA, S.Sos Ir. H. Muh. Nurfa Thalib"
407,"H. ASNAWI SYUKUR TOHALU. S.Sos.,MM","Drs.H. A. RUSTAM TAMBURAKA, M.Si","info pasangan calon H. ASNAWI SYUKUR TOHALU. S.Sos.,MM Drs.H. A. RUSTAM TAMBURAKA, M.Si"
963,"Drs. H. ASWAD SULAIMAN P, M.Si","H. ABU HAERA, S.Sos, M.Si","info pasangan calon Drs. H. ASWAD SULAIMAN P, M.Si H. ABU HAERA, S.Sos, M.Si"
969,"IR. RUKSAMIN, M.Si","RAUP, S.Ag","info pasangan calon IR. RUKSAMIN, M.Si RAUP, S.Ag"
978,"ANWAR, S.Sos","H. ABDUL RAZAK NABA, SH","info pasangan calon ANWAR, S.Sos H. ABDUL RAZAK NABA, SH"
