id,link,title,time,date
138,http://www.dpr.go.id/agenda/detail/id/7452,Rapat Kerja Komisi VIII DPR RI dengan Menteri Pemberdayaan Perempuan dan Perlindungan Anak RI dan Kepala Badan Nasional Penanggulangan Bencana.,10:00,2015-02-10
139,http://www.dpr.go.id/agenda/detail/id/7467,"Rapat Dengar Pendapat Komisi I DPR RI dengan Sekjen Kemhan RI, Dirjen Renhan Kemhan RI, Asrenum Panglima TNI, Asrena TNI AD, Asrena TNI AL, dan Asrena TNI AU",10:00,2015-02-10
140,http://www.dpr.go.id/agenda/detail/id/7476,Komisi IV DPR RI Rapat Dengar Pendapat (RDP) dengan Pejabat Eselon I Kementerian Kelautan dan Perikanan.,10:00,2015-02-10
141,http://www.dpr.go.id/agenda/detail/id/7481,"Rapat Dengar Pendapat Komisi VI DPR RI dengan Deputi Bidang Usaha Agro dan Industri Strategis ; Deputi Bidang Usaha Jasa Keuangan, Jasa Konstruksi dan Jasa Lain ; Deputi Bidang Usaha Energi, Logistik dan Perhubungan Kementerian BUMN",11:00,2015-02-10
142,http://www.dpr.go.id/agenda/detail/id/7447,"Komisi III : Rapat Pembahasan APBN-P Tahun 2015 dengan KPK, Komnas HAM dan Kejaksaan Agung",13:00,2015-02-10
143,http://www.dpr.go.id/agenda/detail/id/7477,Komisi IV DPR RI Rapat Kerja dengan Menteri Kelautan dan Perikanan RI.,13:00,2015-02-10
144,http://www.dpr.go.id/agenda/detail/id/7453,Rapat Kerja Komisi VIII DPR RI dengan Menteri Sosial RI.,14:00,2015-02-10
145,http://www.dpr.go.id/agenda/detail/id/7468,"Rapat Dengar Pendapat Komisi I DPR RI dengan Sekjen Kemenkominfo RI, Sekjen Kemlu RI , Dirut LPP TVRI, dan Dirut LPP RRI",14:00,2015-02-10
146,http://www.dpr.go.id/agenda/detail/id/7478,Badan Anggaran DPR RI - Rapat Kerja dengan Menko Perekonomian; Menko Polhukam; Menko Pembangunan Manusia dan Kebudayaan; dan Menko Kemaritiman.,14:00,2015-02-10
147,http://www.dpr.go.id/agenda/detail/id/7446,Rapat Pleno Komisi III terhadap APBN-P 2015,16:30,2015-02-10
148,http://www.dpr.go.id/agenda/detail/id/7480,"Badan Anggaran DPR RI - Rapat Panja Draft RUU dengan Pemerintah (DITUNDA menjadi Rabu,11 Februari 2015 Pk. 10.00 Wib.)",19:00,2015-02-10
149,http://www.dpr.go.id/agenda/detail/id/7482,Komisi IX Raker dgn Menaker dan Menkes,19:00,2015-02-10
150,http://www.dpr.go.id/agenda/detail/id/7479,RDP Komisi III dengan Gubernur Provinsi DKI Jakarta,19:30,2015-02-10
151,http://www.dpr.go.id/agenda/detail/id/7483,Rapat Kerja Komisi VI DPR RI dengan Menteri BUMN RI,19:30,2015-02-10
152,http://www.dpr.go.id/agenda/detail/id/7454,Rapat Kerja Komisi VIII DPR RI dengan Menteri Agama RI.,10:00,2015-02-11
153,http://www.dpr.go.id/agenda/detail/id/7469,Rapat Dengar Pendapat Komisi I DPR RI dengan Wakil Kepala B.I.N.,10:00,2015-02-11
154,http://www.dpr.go.id/agenda/detail/id/7485,Badan Anggaran DPR RI - Rapat Panja Draft RUU dengan Pemerintah,10:00,2015-02-11
155,http://www.dpr.go.id/agenda/detail/id/7487,Komisi IV DPR RI Rapat Kerja dengan Menteri Lingkungan Hidup dan Kehutanan RI.,10:00,2015-02-11
156,http://www.dpr.go.id/agenda/detail/id/7470,"Rapat Dengar Pendapat Komisi I DPR RI dengan Kepala LEMSANEG, Gubernur LEMHANNAS, dan Sekjen WANTANNAS",14:00,2015-02-11
157,http://www.dpr.go.id/agenda/detail/id/7473,"RDP Komisi XI dgn Sekjen BPK RI, Kepala BPKP, LKPP, dan BPS",14:00,2015-02-11
158,http://www.dpr.go.id/agenda/detail/id/7490,Badan Anggaran DPR RI - Rapat Panja Transfer ke Daerah dan Dana Desa dengan Pemerintah,14:00,2015-02-11
