periode,id_partai,nama_partai,role,nama,id_calon,mata_uang,uang,nilai_barang,unit_barang,nilai_jasa,bentuk_jasa,jumlah,keterangan
2,5,Partai Golongan Karya,calon anggota legislatif,"IRHAM BUANA NASUTION,SH.,M.HUM.",1201-00-0000-0507,Rp,,,,97665000,,97665000,
2,5,Partai Golongan Karya,calon anggota legislatif,ALDANALIA DELVI,1201-00-0000-0508,Rp,,,,100000000,,100000000,
2,5,Partai Golongan Karya,calon anggota legislatif,"H.AKBAR HIMAWAN BUCHARI, SH",1201-00-0000-0509,Rp,,,,100000000,,100000000,
2,5,Partai Golongan Karya,calon anggota legislatif,"H.HARDI MULYONO,SE,MAP",1201-00-0000-0510,Rp,,,,150000000,,150000000,
2,5,Partai Golongan Karya,calon anggota legislatif,"RAMBE KAMARUL ZAMAN M.Sc, M.M",1202-00-0000-0501,Rp,,,,400000000,,400000000,
2,5,Partai Golongan Karya,calon anggota legislatif,Ir. NEIL ISKANDAR DAULAY,1202-00-0000-0502,Rp,,,,240000000,,240000000,
2,5,Partai Golongan Karya,calon anggota legislatif,"REGINA TETTY MARY, MSc",1202-00-0000-0503,Rp,,,,250000000,,250000000,
2,5,Partai Golongan Karya,calon anggota legislatif,"ZULFIDA RANGKUTI, BA",1202-00-0000-0504,Rp,,,,88800000,,88800000,
2,5,Partai Golongan Karya,calon anggota legislatif,"H. RISWAN HELMI NASUTION SH,MH",1202-00-0000-0505,Rp,,,,203000000,,203000000,
2,5,Partai Golongan Karya,calon anggota legislatif,Ir.LAMHOT SINAGA,1202-00-0000-0506,Rp,,,,160000000,,160000000,
2,5,Partai Golongan Karya,calon anggota legislatif,Ir.TALIHADAT BAZATOGU HIA,1202-00-0000-0507,Rp,,,,200000000,,200000000,
2,5,Partai Golongan Karya,calon anggota legislatif,"Dra. E. ANITA GIZELLE, MBA",1202-00-0000-0508,Rp,,,,100000000,,100000000,
2,5,Partai Golongan Karya,calon anggota legislatif,"Ir. ROBERTO P. L. GAOL, MT",1202-00-0000-0509,Rp,,,,80000000,,80000000,
2,5,Partai Golongan Karya,calon anggota legislatif,H.MUHAMAD ICHWAN HUSEIN NASUTION,1202-00-0000-0510,Rp,,,,145000000,,145000000,
2,5,Partai Golongan Karya,calon anggota legislatif,Dr. CAPT. ANTHON SIHOMBING,1203-00-0000-0501,Rp,,,,280000000,,280000000,
2,5,Partai Golongan Karya,calon anggota legislatif,"H. AHMAD DOLI KURNIA TANDJUNG, MT",1203-00-0000-0502,Rp,,,,200000000,,200000000,
2,5,Partai Golongan Karya,calon anggota legislatif,"DELIA PRATIWI BR. SITEPU, SH",1203-00-0000-0503,Rp,,,,112000000,,112000000,
2,5,Partai Golongan Karya,calon anggota legislatif,Ir. ALI WONGSO HALOMOAN SINAGA,1203-00-0000-0504,Rp,,,,425288000,,425288000,
2,5,Partai Golongan Karya,calon anggota legislatif,ESWIN SOEKARDJA,1203-00-0000-0505,Rp,,,,100000000,,100000000,
2,5,Partai Golongan Karya,calon anggota legislatif,"Dra. Hj. SITI HERAWATI TARIGAN, MM",1203-00-0000-0506,Rp,,,,48500000,,48500000,
2,5,Partai Golongan Karya,calon anggota legislatif,"ARTUR DEWATA M.D. BATUBARA,M.Sc.",1203-00-0000-0507,Rp,,,,390000000,,390000000,
2,5,Partai Golongan Karya,calon anggota legislatif,"BACHTIAR RAVENALA UJUNG, SE, MM",1203-00-0000-0508,Rp,,,,250000000,,250000000,
2,5,Partai Golongan Karya,calon anggota legislatif,HADIATY MAHALINDA,1203-00-0000-0509,Rp,,,,200000000,,200000000,
2,5,Partai Golongan Karya,calon anggota legislatif,FRANKY LIWIJAYA,1203-00-0000-0510,Rp,,,,200000000,,200000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"H. MUKHLIS MUKHTAR, SH",1101-00-0000-1001,Rp,,31250000,,151000000,,182250000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,AMIR FAISAL,1101-00-0000-1002,Rp,,,,300000000,,300000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"Hj. CUT ANI VIVIYANTI, SE",1101-00-0000-1003,Rp,,,,60000000,,60000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"HAFIDZ MARZUKI, SE",1101-00-0000-1004,Rp,,,,40000000,,40000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"DENNI ARIE MAHESA, SHI",1101-00-0000-1005,Rp,,,,35000000,,35000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"MAYASARI, S.Psi",1101-00-0000-1006,Rp,,,,200000000,,200000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,RINA ROSIANA AGUSTINA,1101-00-0000-1007,Rp,,,,75000000,,75000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,H. SYAFRUDDIN BUDIMAN,1102-00-0000-1001,Rp,,,,150500000,,150500000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"dr. H. SYAFRIRUDDIN, MM",1102-00-0000-1002,Rp,,,,20000000,,20000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,DARSIAH,1102-00-0000-1003,Rp,,,,250000000,,250000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,MAHREJE WAHAB,1102-00-0000-1004,Rp,,,,150000000,,150000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,Ir. LISMAINI,1102-00-0000-1005,Rp,,,,0,,0,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"RUSLI RANTO, SH, MH",1102-00-0000-1006,Rp,,,,26600000,,26600000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,GEDE NGURAH WIDIDANA,5101-00-0000-1001,Rp,,,,188000000,,188000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,WIKANTHI,5101-00-0000-1002,Rp,,,,85000000,,85000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,ATIEK SRI SISWATHY,5101-00-0000-1003,Rp,,9000000,,49600000,,58600000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"DRS. AMBRONCIUS I.M NABABAN, MM",5101-00-0000-1004,Rp,,,,95770000,,95770000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,I.B.G. SURYATMAJA,5101-00-0000-1005,Rp,,,,000,,0,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,IR. MADE SUDARMINI,5101-00-0000-1006,Rp,,,,7000000,,7000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,I WAYAN ADNYANA,5101-00-0000-1007,Rp,,,,0,,0,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"ZENURI, SH",5101-00-0000-1008,Rp,,,,000,,0,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,Drs. TOM TILLER SIHOMBING,5101-00-0000-1009,Rp,,,,0,,0,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"HARIS FADILLAH, S.Sos, M.Si",1901-00-0000-1001,Rp,,,,352750000,,352750000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"HERMANTO, SH",1901-00-0000-1002,Rp,,,,55000000,,55000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"ERFIENA ANGGRAENI MALIKI, SS",1901-00-0000-1003,Rp,,,,183771250,,183771250,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,H.A. FUAD SYAUQI,3601-00-0000-1001,Rp,,,,131450000,,131450000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,HANRY GIANTORO,3601-00-0000-1002,Rp,,,,,,0,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"SITI NURBANI, SH, M.Hum",3601-00-0000-1003,Rp,,,,108000000,,108000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"H. AMIRUDIN ASEP, SH",3601-00-0000-1004,Rp,,,,25697000,,25697000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"H. APANG TAUPIK, SH, MH",3601-00-0000-1005,Rp,,,,0,,0,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"Hj. SRI RAHAYU WIDYANINGRUM, S.Sos",3601-00-0000-1006,Rp,,161000000,,23208000,,184208000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,H. PATRIKA SUSANA,3602-00-0000-1001,Rp,,25000000,,285400000,,310400000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"Drs. RAMBUN SUMARDI,AK, M.Si",3602-00-0000-1002,Rp,,,,49800000,,49800000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,Drs. HAWELLY E. BACHTIAR,3602-00-0000-1003,Rp,,,,178900000,,178900000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"NASIR, SH",3602-00-0000-1004,Rp,,,,0,,0,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,TITIN KHOLAWIYAH,3602-00-0000-1005,Rp,,,,84050000,,84050000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"WAHYU AGUNG PERMANA, SE",3602-00-0000-1006,Rp,,105000000,,102000000,,207000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"HARY ASHAR, SE, M.Ak",3603-00-0000-1001,Rp,,,,571400000,,571400000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"H. INAS NASRULLAH ZUBIR BE, SE",3603-00-0000-1002,Rp,,,,532100000,,532100000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"Hj. ETTY ROBIAH AFDHAL, SE",3603-00-0000-1003,Rp,,,,236900000,,236900000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,ATI MARWATI,3603-00-0000-1004,Rp,,71500000,,18822500,,90322500,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,DINI SAVITRI,3603-00-0000-1005,Rp,,,,100000000,,100000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"dr. H. YANDRADONI, S.Pd, MM, M.Si",3603-00-0000-1006,Rp,,48500000,,302500000,,351000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,H. PROBO YUNIAR WAHYUDIANTO,3603-00-0000-1007,Rp,,,,1161485100,,1161485100,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,H. KARJAN. SH,3603-00-0000-1008,Rp,,,,205260000,,205260000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,dr. ELVIER ARIADIANNIE SOEDARTO POETRI MARS,3603-00-0000-1009,Rp,,275000000,,124546875,,399546875,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,ABD. ROHIM GHAZALI,3603-00-0000-1010,Rp,,,,128005000,,128005000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"H. MUSLIHAN DIDING SUTRISNO, S.Sos, MM",1701-00-0000-1001,Rp,,,,185000000,,185000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"Ir. H. HENRY KOESTOMO, MM",1701-00-0000-1002,Rp,,,,50000000,,50000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"Dra. NINI YUDIARTI, M.Si",1701-00-0000-1003,Rp,,,,35000000,,35000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,YURINE,1701-00-0000-1004,Rp,,,,0,,0,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"ING GRAD. H. RM. BAMBANG SOEDRADJAT, MBA",3401-00-0000-1001,Rp,,69000000,,207653600,,276653600,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"Ir.R. RUDY GUNARTO, MM",3401-00-0000-1002,Rp,,,,179966520,,179966520,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,YULIA PUTRI NOOR,3401-00-0000-1003,Rp,,,,7000000,,7000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,Drs. JOES PRANANTO,3401-00-0000-1004,Rp,,,,7000000,,7000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,H. AHMAD SUBAGYA,3401-00-0000-1005,Rp,,,,,,0,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,RR. UMI LESTARI WAHYU NINGRUM,3401-00-0000-1006,Rp,,26500000,,27300000,,53800000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,ROBERTO EVERHARD,3401-00-0000-1007,Rp,,120000000,,250000000,,370000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"RR. NANING WIDYASTUTI, S.Pd",3401-00-0000-1008,Rp,,,,0,,0,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"WIJAYA KUSUMA SUBROTO, MM",3101-00-0000-1001,Rp,220000000,,,465130000,,685130000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"H. MULYANO, SE, MM",3101-00-0000-1002,Rp,,,,50000000,,50000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,IDA HASTUTI LISTIANTINI,3101-00-0000-1003,Rp,,,,30000000,,30000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"SUTRISNO, SE",3101-00-0000-1004,Rp,,,,7000000,,7000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"Z. LEANDER OHOIWUTUN, S.Sos",3101-00-0000-1005,Rp,,,,0,,0,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"HANA FIRTIANA, SH, MH",3101-00-0000-1006,Rp,,,,20213200,,20213200,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,PROF. DR. H. BAMBANG MARSONO,3102-00-0000-1001,Rp,,,,44638100,,44638100,
