lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url,tanggal_mulai,tanggal_berakhir,keterangan
DPR,2009,52,NTB,5201-00-0000,NTB,5,PARTAI GOLONGAN KARYA,1,DPR123,Adi Putra Darmawan Tahir,L,Islam,Bandung,1953-05-18,Kawin,Rahmi Lestari Adi Putra,3,,,,,,,,
DPR,2009,52,NTB,5201-00-0000,NTB,7,PARTAI DEMOKRAT,1,DPR124,"Ir. Nanang Samodra KA, M.Sc",L,Islam,Yogyakarta,1953-01-31,Kawin,"Ir. Hj. Sri Sustini, MM",4,,,,,,,,
DPR,2009,82,Malut,8201-00-0000,Malut,5,PARTAI GOLONGAN KARYA,2,DPR125,Hj. Nurrokhmah Ahmad Hidayat MUS.,P,Islam,Cilacap,1971-03-10,Kawin,H. Ahmat Hidayat Mus,3,,,,,,,,
DPR,2009,52,NTB,5201-00-0000,NTB,7,PARTAI DEMOKRAT,2,DPR126,I Wayan Gunastra,L,Hindu,Bali,1953-04-17,Pernah Kawin,,4,,,,,,,,
DPR,2009,52,NTB,5201-00-0000,NTB,7,PARTAI DEMOKRAT,7,DPR127,Dr. Abdurrahman Abdullah,L,Islam,"Tente, Bima",1967-08-17,Kawin,Najah,3,,,,,,,,
DPR,2009,31,DKI Jakarta,3101-00-0000,DKI I,6,PARTAI GERAKAN INDONESIA RAYA,1,DPR128,Saifudin Donodjoyo,L,Islam,Magelang,1954-11-11,Kawin,Atie Budiati,3,,,,,,,,
DPR,2009,81,Maluku,8101-00-0000,Maluku,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,1,DPR129,Alexander Litaay,L,Kristen Protestan,Ambon,1948-10-01,Kawin,Maureen Litaay M,3,,,,,,,,
DPR,2009,81,Maluku,8101-00-0000,Maluku,2,PARTAI KEBANGKITAN BANGSA,1,DPR130,"Mirati Dewaningsih, ST",P,Islam,Yogyakarta,1964-08-10,Kawin,"Ir.H.Abdullah Tuasikal, M.Si",3,,,,,,,,
DPR,2009,82,Malut,8201-00-0000,Malut,7,PARTAI DEMOKRAT,1,DPR131,"Boki Ratu Nita Budhi Susanti,SE",P,Islam,Semarang,1968-07-07,Kawin,"Drs. H. Mudaffar Sjah, Bc.Hk",9,,,,,,,,
DPR,2009,82,Malut,8201-00-0000,Malut,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,2,DPR132,Hayu R. Anggara Shelomita,P,Islam,Jakarta,1980-01-22,Kawin,Arvan Siregar,2,,,,,,,,
DPR,2009,52,NTB,5201-00-0000,NTB,5,PARTAI GOLONGAN KARYA,3,DPR133,Muhammad Lutfi,L,Islam,Bima,1971-08-15,Kawin,Sri Rahmawati,1,,,,,,,,
DPR,2009,52,NTB,5201-00-0000,NTB,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,1,DPR134,"H. Rachmat Hidayat, SH",L,Islam,Lombok Timur,1952-11-28,Kawin,"Dra. Hj. Putu Selly Handayani, M.Si",11,,,,,,,,
DPR,2009,53,NTT,5301-00-0000,NTT I,7,PARTAI DEMOKRAT,1,DPR135,"Dr. Harman Benediktus Kabur, SH",L,Katolik,Flores,1962-09-19,Kawin,"Drg. Maria G. Ernawati, SP.Bm",3,,,,,,,,
