lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url,tanggal_mulai,tanggal_berakhir,keterangan
DPD,2009,76,SULAWESI BARAT,7600-00-0000,SULAWESI BARAT,,,20,DPD105,"K.H. Muhammad Syilbi Sahabuddin, S.Ag, M.Ag",L,Islam,Polewali,1968-08-20,Kawin,"Rina Riniawati, M",2,,,,,,,,
DPD,2009,76,SULAWESI BARAT,7600-00-0000,SULAWESI BARAT,,,7,DPD106,Ir. H. Iskandar Muda Baharuddin Lopa,L,Islam,Makassar,1961-08-19,Kawin,"Andi Wahida P, SH.",5,,,,,,,,
DPD,2009,76,SULAWESI BARAT,7600-00-0000,SULAWESI BARAT,,,21,DPD107,"Hj. Mulyana Isham, SH. MM",P,Islam,Mamuju,1952-03-07,Janda,Ir. H. Makmur Andi Nontji (Alm),3,,,,,,,,
DPD,2009,75,GORONTALO,7500-00-0000,GORONTALO,,,12,DPD108,Hana Hasanah Fadel Muhammad,P,Islam,Jakarta,1969-09-01,Kawin,DR. Ir. Fadel Muhammad,6,,,,,,,,
DPD,2009,75,GORONTALO,7500-00-0000,GORONTALO,,,17,DPD109,Rahmiyati Jahja,P,Islam,Gorontalo,1959-01-26,Kawin,"Drs. H. David Bobihoe Akib, M.Sc. M.M",2,,,,,,,,
DPD,2009,75,GORONTALO,7500-00-0000,GORONTALO,,,9,DPD110,"Elnino M. Husein Mohi, ST. M.SI",L,Islam,Gorontalo,1974-10-30,Kawin,"Umin Kango, S.Pd",3,,,,,,,,
DPD,2009,75,GORONTALO,7500-00-0000,GORONTALO,,,7,DPD111,dr. Budi Doku,L,Islam,Gorontalo,1971-05-06,Kawin,Sherly Djou,2,,,,,,,,
DPD,2009,81,MALUKU,8100-00-0000,MALUKU,,,4,DPD112,Anna Latuconsina,P,Islam,Ambon,1956-02-15,Kawin,,,,,,,,,,
DPD,2009,81,MALUKU,8100-00-0000,MALUKU,,,17,DPD113,"Prof. Dr. Jhon Pieris, SH. MS.",L,Kristen Protestan,Ambon,1949-08-18,,,,,,,,,,,
DPD,2009,81,MALUKU,8100-00-0000,MALUKU,,,16,DPD114,"Jacob Jack Ospara, S. Th., M.Th",L,Kristen Protestan,Nuwewang,1947-05-18,Kawin,Maria Ietje Ospara Wenno,3,,,,,,,,
DPD,2009,81,MALUKU,8100-00-0000,MALUKU,,,9,DPD115,Hj. Etha Aisyah Hentihu,P,Islam,Ambon,1955-02-26,Kawin,Abdullah Sotja,5,,,,,,,,
