id,wilayah_id,tanggal,diajukan,disetujui,digunakan,no_surat_nphd,dokumen_nphd,parpol_pendukung,
120,56677,0000-00-00,12215200000,12000000000,624813000,118.A/KPU-KAB.017.433883/IV/2015,132__angg_NPHD KSB.pdf,NULL,
121,47859,0000-00-00,47000000000,38000000000,0,900/1505/404.6.4/2015 , 265/KPU-Kab.014.329888/V/2015,136_angg_NPHD SIDOARJO-JAWATIMUR.pdf,NULL
122,13022,0000-00-00,8733140000,8560000000,7000000000,Nomor: 900/8033/KPU/2015 Nomor: 431/KPU-002.434894/IV/2015,138_angg_NPHD KPU KOTA TANJUNGBALAI.pdf,NULL,
123,46195,0000-00-00,74034500000,71659000000,71659000000,79 Tahun 2015 dan 158/Kpu-kab-014.319713/V/2015,139__angg_NPHD KPU Kab Jember.pdf,NULL,
124,29721,0000-00-00,40000000000,15000000000,0,900/Perj.1140-DPPKAD/2015 dan 12/KPU-Kab/011.329078/IV/2015,140__angg_NPHD_TASIKMALAYA_KAB.pdf,NULL,
125,14056,0000-00-00,15700000000,15400000000,6000000000,"200/106/KESBANGPOL-2015, 55/NPHD/KPU.KAB.003.435064/V/2015",,NULL,
126,86442,0000-00-00,41322200000,24816300000,0,900/459/IV/BUP/2015/270/11/sea.kab.031.434260/IV/2015,,NULL,
127,79628,0000-00-00,19403100000,17441000000,0,270/S.2/2015 dan 32.a/KPU-Kab.033.433422/IV/2015,,NULL,
128,41877,0000-00-00,20245100000,19500000000,0,"981/2/NPHD/2015, III.a/KPU-Kab-012.329279/V/2015",,NULL,
129,7293,0000-00-00,16852000000,13000000000,3000000000,"270/3266/2015, 173/KPU-KAB/002-434707/IV/2015",145_angg_2.0.NPHD PILKADA TAPSEL 2015.pdf,NULL,
130,11234,0000-00-00,34438700000,20000000000,10393000000,230/270/IV/SB/2015,147__angg_Naskah Perjanjian Hibah Asli.PDF,NULL,
131,60220,0000-00-00,8350000000,7544270000,0,01/KPU-KAB/018-433928/IV/2015,148__angg_003.jpg,NULL,
132,67930,0000-00-00,47875900000,45101900000,0,197/32/HK/2015  dan 01/KPU-NNK-021.436126/APBD/V/2015,149_angg_NPHD.pdf,NULL,
133,55045,0000-00-00,19506400000,19506400000,19506400000,"1099 tahun 2015, 127/KPU.Kab/016.433789/V/2015",150__angg_NPHD.pdf,NULL,
134,73685,0000-00-00,18116748715,10000000000,0,974/07/NPDH-BPKD/V/2015,151_angg_NPHD MAROS.pdf,Partai Gerindra,
135,73685,0000-00-00,18116748715,10000000000,0,974/07/NPDH-BPKD/V/2015,151_angg_NPHD MAROS.pdf,Partai Amanat Nasional,
136,73685,0000-00-00,18116748715,10000000000,0,974/07/NPDH-BPKD/V/2015,151_angg_NPHD MAROS.pdf,Partai Golkar,
137,73920,0000-00-00,12760000000,9491690000,0,02/NPHD-PPKD/V/2015,_angg_PERJANJIAN HIBAH 2015.pdf,NULL,
138,67102,0000-00-00,28811200000,20000000000,20000000000,130/479/HK-TU.P/IV/2015- 900/046/KPU-KAB.0231.436101/IV/2015,,NULL,
139,23770,0000-00-00,24194200000,24194200000,0,1083/NPHD/LTd.7/2015,154_angg_NPHD KPU KABUPATEN LAMPUNG TENGAH.pdf,NULL,
140,60289,0000-00-00,15980100000,14855000000,2300000000,Nomor 3 Tahun 2015 dan Nomor 22-Kpts/KPU-Prov-018/2015,155__angg_Naskah Hibah - MALAKA.pdf,NULL,
141,73983,0000-00-00,20841500000,13000000000,0,08/NPHD/V/2015,156__angg_NPHD_PILBUP_SOPPENG_2015.pdf,NULL,
142,58998,0000-00-00,19933500000,18000000000,16995800000,379/DPPKAD-978/706/IV/2015,157_angg_NPHD KPU Kab. Sumba Timur - Provinsi NTT.pdf,NULL,
143,45545,0000-00-00,45132800000,39384900000,39384900000,270/126/421.205/2015 - 66/KPU-Kab-014.329781/2015,,NULL,
144,25312,0000-00-00,18748800000,17500000000,15000000000,900/70/III.09-WK/2015,161_angg_hal 1.jpg,NULL,
145,70170,0000-00-00,12706200000,7500000000,2775000000,01/NPHD/SKPKD/IV-2015,,NULL,
146,70256,0000-00-00,33386791750,23928397000,0,978.6/1248/BPKAD,165_angg_nphd pilkada 2015 kab. banggai.pdf,NULL,
147,26197,0000-00-00,20260000000,20260000000,0,076/KPU-Kota.008.435642/IV/2015,167__angg_NPHD KOTA BANDAR LAMPUNG.pdf,NULL,
148,25312,0000-00-00,0,0,0,,,NULL,
149,9417,0000-00-00,23976278000,23976278000,15029832500,Nomor 8 Tahun 2015 dan Nomor 355/KPU-Kab-002.434781/V/2015,170_angg_NPHD_Labuhanbatu_2015.pdf,NULL,
150,72396,0000-00-00,25406334900,15136314450,0,451.5/0350/V/DPPKAD/2015 13/Kpts/KPUKotaPalu.024.433212/2015,171_angg_NPHD PILWALKOT PALU 2015.pdf,NULL,
151,9683,0000-00-00,18825053700,15992393700,1506924462,NO.900/003/NPHD/2015,172_angg_NPHD KAB. TOBA SAMOSIR.pdf,NULL,
152,15711,0000-00-00,23897951130,18651502136,1694033900,29 Tahun 2015,173_angg_NPHD ROHUL.pdf,NULL,
153,20964,0000-00-00,30800000000,24500000000,3758908500,900/15/hibah/VIII/2015,174__angg_NPHD.pdf,NULL,
154,13060,0000-00-00,15500000000,15500000000,15500000000,900-2236,175_angg_NPHD.pdf,NULL,
155,16464,0000-00-00,0,0,0,92/KESRA/NPHD/ 2015,,NULL,
