id,province_id,name,link,other_link,explanation,member_link
374,11,Kabupaten Nagan Raya,http://naganrayakab.kpu.go.id/,,Tidak Aktif,
375,11,Kabupaten Aceh Tamiang,http://acehtamiangkab.kpu.go.id/,http://kpuacehtamiang.blogspot.com/,Tidak Aktif,
376,11,Kabupaten Bener Meriah,http://benermeriahkab.kpu.go.id/,,Tidak Aktif,
377,11,Kabupaten Pidie Jaya,http://www.kpud-pidiejayakab.go.id/,,Aktif,
378,11,Kota Banda Aceh,http://kip.bandaacehkota.go.id/,,Aktif,
379,11,Kota Sabang,http://sabangkota.kpu.go.id/,http://kpusabang.blogspot.com/,Tidak Aktif,
380,11,Kota Lhokseumawe,http://www.kiplhokseumawe.com/,,Aktif,
381,11,Kota Langsa,http://kpud-langsakota.go.id/,,Tidak Aktif,
382,11,Kota Subulussalam,http://subulussalamkota.kpu.go.id/,,Tidak Aktif,
383,75,Kabupaten Boalemo,http://kpud.boalemokab.go.id/,,,
384,75,Kabupaten Bone Bolango,http://bonebolangokab.kpu.go.id/,,Tidak Aktif,
385,75,Kabupaten Gorontalo,https://gorontalokab.kpu.go.id/,,Tidak Aktif,
386,75,Kabupaten Gorontalo Utara,http://www.kpud-gorutkab.go.id/,,,
387,75,Kabupaten Pohuwato,http://kpu-pohuwatokab.go.id/new/?cat=9,,Tidak Aktif,
388,75,Kota Gorontalo,http://kpud-gorontalokota.go.id/,,,
389,81,Kabupaten Buru,http://burukab.kpu.go.id/,,Tidak Aktif,
390,81,Kabupaten Buru Selatan,https://buruselatankab.kpu.go.id/,,Tidak Aktif,
391,81,Kabupaten Kepulauan Aru,https://keparukab.kpu.go.id/,,Tidak Aktif,
392,81,Kabupaten Maluku Barat Daya,http://malbardaykab.kpu.go.id/,,Tidak Aktif,
393,81,Kabupaten Maluku Tengah,http://www.kpu-malukutengah.go.id/,,Tidak Aktif,
394,81,Kabupaten Maluku Tenggara,http://maltrakab.kpu.go.id/,,Tidak Aktif,
395,81,Kabupaten Maluku Tenggara Barat,,,,
396,81,Kabupaten Seram Bagian Barat,http://serambagbarkab.kpu.go.id/,,Tidak Aktif,
397,81,Kabupaten Seram Bagian Timur,http://serambagtimkab.kpu.go.id/,,Tidak Aktif,
398,81,Kota Ambon,https://ambonkota.kpu.go.id/,,Tidak Aktif,
399,81,Kota Tual,,http://kota-tual.blogspot.com/,,
400,82,Kabupaten Halmahera Barat,http://halbarkab.kpu.go.id/,,Tidak Aktif,
